sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
354,8133544922;-123,3086242676;
355,6314086914;-123,3439712524;
356,4511718750;-123,3932342529;
357,2728271484;-123,4562454224;
358,0963439941;-123,5192489624;
358,9219970703;-123,5822753906;
359,7493286133;-123,6411514282;
360,5785827637;-123,6934661865;
361,4099426270;-123,7457885742;
362,2430114746;-123,7981033325;
363,0780029297;-123,8451156616;
363,9151306152;-123,8802566528;
364,7539672852;-123,9153976440;
365,5947570801;-123,9505386353;
366,4374694824;-123,9949264526;
367,2823486328;-124,0645370483;
368,1289672852;-124,1341323853;
368,9775390625;-124,2037200928;
369,8282470703;-124,2668151855;
370,6807250977;-124,3119354248;
371,5351867676;-124,3570556641;
372,3917846680;-124,4021835327;
373,2501831055;-124,4424133301;
374,1105346680;-124,4712219238;
374,9729003906;-124,5000381470;
375,8374328613;-124,5288543701;
376,7037658691;-124,5646820068;
377,5721130371;-124,6124725342;
378,4426574707;-124,6602706909;
379,3149719238;-124,7080612183;
380,1893310547;-124,7701797485;
381,0658874512;-124,8482055664;
381,9442749023;-124,9262084961;
382,8247070313;-125,0042114258;
383,7073364258;-125,0601119995;
384,5918273926;-125,1020965576;
385,4783325195;-125,1440811157;
386,3668823242;-125,1860733032;
387,2576904297;-125,2107467651;
388,1503601074;-125,2307434082;
389,0450744629;-125,2507400513;
389,9420471191;-125,2707443237;
390,8409118652;-125,2907409668;
391,7418212891;-125,3107452393;
392,6450195313;-125,3307418823;
393,5501098633;-125,3507461548;
394,4572753906;-125,3707427979;
395,3665161133;-125,3907394409;
396,2780761719;-125,4107437134;
397,1915283203;-125,4109191895;
398,1070861816;-125,4136810303;
399,0249633789;-125,4164428711;
399,9447631836;-125,4192123413;
400,8666381836;-125,4265975952;
401,7908935547;-125,4466018677;
402,7170410156;-125,4665985107;
403,6453552246;-125,5022964478;
404,5759887695;-125,6302185059;
405,5085754395;-125,7581176758;
406,4432983398;-125,8860168457;
407,3801879883;-126,0160064697;
408,3194580078;-126,1480407715;
409,2606506348;-126,2800445557;
410,2040100098;-126,4120407104;
411,1498107910;-126,5456619263;
412,0975341797;-126,6794052124;
413,0474548340;-126,8131484985;
413,9997863770;-126,9480285645;
414,9540710449;-127,0850677490;
415,9105834961;-127,2221221924;
416,8692626953;-127,3591690063;
417,8304138184;-127,5089645386;
418,7935485840;-127,6621627808;
419,7588806152;-127,8153610229;
420,7266845703;-127,9786834717;
421,6965026855;-128,1691131592;
422,6685485840;-128,3595581055;
423,6430664063;-128,5500488281;
424,6195983887;-128,5500488281;
425,5983581543;-128,5500488281;
426,5796203613;-128,5500488281;
427,5629272461;-128,5500488281;
428,5484924316;-128,5500488281;
429,5363159180;-128,5500488281;
430,5266723633;-128,5500488281;
431,5190734863;-128,5500488281;
432,5137634277;-128,5500488281;
433,5109558105;-128,5500488281;
434,5102233887;-128,5500488281;
435,5118103027;-128,5500488281;
436,5159301758;-128,5500488281;
437,5221252441;-128,6181335449;
438,5306701660;-128,7721710205;
439,5415039063;-128,8225250244;
440,5549316406;-129,0030975342;
441,5704345703;-129,1034851074;
442,5882873535;-129,1698150635;
443,6087341309;-129,2340698242;
444,6312561035;-129,4641113281;
445,6561889648;-129,5170135498;
446,6836853027;-129,5170135498;
447,7133178711;-129,5170135498;
448,7453308105;-129,5170135498;
449,7799682617;-129,5170135498;
450,8167419434;-129,5170135498;
451,8559265137;-129,5170135498;
452,8974609375;-129,5170135498;
453,9416809082;-129,5170135498;
454,9880371094;-129,5170135498;
456,0368347168;-129,5170135498;
457,0882873535;-129,5889587402;
458,1419067383;-130,1452331543;
459,1979370117;-130,8282623291;
460,2566833496;-131,5114746094;
461,3175964355;-132,2089996338;
462,3809814453;-132,9864044189;
463,4468078613;-133,7637939453;
464,5153198242;-134,5413513184;
465,5860900879;-135,3530273438;
466,6592712402;-136,1656494141;
467,7352294922;-136,1656494141;
468,8133850098;-136,1656494141;
469,8940429688;-136,1656494141;
470,9774169922;-136,1656494141;
472,0630798340;-136,1656494141;
473,1512145996;-136,1656494141;
474,2421264648;-136,1656494141;
475,3352661133;-136,1656494141;
476,4309692383;-136,1656494141;
477,5291748047;-136,1656494141;
478,6301574707;-136,1656494141;
479,7334289551;-136,1656494141;
480,8392639160;-136,1656494141;
481,9479064941;-136,1656494141;
483,0588073730;-136,1656494141;
484,1723022461;-136,1656494141;
485,2886352539;-136,1656494141;
486,4072570801;-135,4472198486;
487,5284423828;-134,5748291016;
488,6522521973;-133,7791137695;
489,7788696289;-133,1391296387;
490,9078674316;-132,4992523193;
492,0394287109;-131,9272918701;
493,1738891602;-131,4965820313;
494,3106994629;-131,2511138916;
495,4501037598;-131,2511138916;
496,5924377441;-131,2511138916;
497,7371215820;-131,2511138916;
498,8844299316;-131,2511138916;
500,0343933105;-131,2511138916;
501,1872863770;-131,2511138916;
502,3425598145;-131,2511138916;
503,5004882813;-131,2511138916;
504,6613769531;-131,2511138916;
505,8246459961;-131,2511138916;
506,9906311035;-131,2511138916;
508,1595458984;-131,2511138916;
509,3309020996;-131,2511138916;
510,5049438477;-131,2511138916;
511,6819763184;-131,2511138916;
512,8614501953;-131,2511138916;
514,0436401367;-131,2511138916;
515,2285156250;-131,3152465820;
516,4164428711;-131,3685760498;
517,6068115234;-131,4199523926;
518,7999267578;-131,4714050293;
519,9960937500;-131,6046752930;
521,1947021484;-131,7378997803;
522,3961181641;-131,8680114746;
523,6005859375;-131,9830322266;
524,8074951172;-132,0980224609;
526,0172119141;-132,2316131592;
527,2297363281;-132,3981475830;
528,4453125000;-132,5647125244;
529,6633911133;-132,6614074707;
530,8843383789;-132,7049713135;
532,1083374023;-132,7485351563;
533,3348999023;-132,9399414063;
534,5642700195;-133,1699676514;
535,7967529297;-133,3983154297;
537,0317993164;-133,5791168213;
538,2697143555;-133,7599334717;
539,5107421875;-133,9149932861;
540,7543945313;-134,0085601807;
542,0008544922;-134,1021270752;
543,2501831055;-134,1644439697;
544,5027465820;-134,2034301758;
545,7578735352;-134,2424011230;
547,0158691406;-134,3917083740;
548,2770385742;-134,5580291748;
549,5408935547;-134,7130126953;
550,8076171875;-134,8154754639;
552,0775756836;-134,9179840088;
553,3501586914;-134,9974212646;
554,6256713867;-135,0542602539;
555,9041137695;-135,1111145020;
557,1857910156;-135,2110137939;
558,4701538086;-135,3185729980;
559,7575073242;-135,4324798584;
561,0480957031;-135,5705566406;
562,3413085938;-135,7085876465;
563,6375732422;-135,8202362061;
564,9370727539;-135,9131469727;
566,2393188477;-135,9131469727;
567,5445556641;-135,9131469727;
568,8530883789;-135,9131469727;
570,1643066406;-135,9131469727;
571,4785766602;-135,9131469727;
572,7958984375;-135,9131469727;
574,1165161133;-135,9131469727;
575,4399414063;-135,9131469727;
576,7663574219;-135,9131469727;
578,0961303711;-135,9156951904;
579,4287109375;-136,0060272217;
580,7643432617;-136,0411224365;
582,1033325195;-136,0580596924;
