sep=;
337,2873840332;-121,9839706421;
338,0648803711;-122,0039672852;
338,8441467285;-122,0239639282;
339,6251831055;-122,0439682007;
340,4082336426;-122,0639724731;
341,1929016113;-122,0839691162;
341,9793701172;-122,1039657593;
342,7678527832;-122,1239700317;
343,5579528809;-122,1439666748;
344,3498840332;-122,1639633179;
345,1438293457;-122,1839675903;
345,9393920898;-122,2039642334;
346,7368164063;-122,2239685059;
347,5360717773;-122,2439651489;
348,3373718262;-122,2639694214;
349,1402893066;-122,2839660645;
349,9450988770;-122,3039627075;
350,7519226074;-122,3239669800;
351,5604553223;-122,3439636230;
352,3708190918;-122,3639678955;
353,1832580566;-122,3927307129;
353,9973754883;-122,4260253906;
354,8133544922;-122,4593124390;
355,6314086914;-122,4926147461;
356,4511718750;-122,5445709229;
357,2728271484;-122,6149673462;
358,0963439941;-122,6853561401;
358,9219970703;-122,7557601929;
359,7493286133;-122,8092956543;
360,5785827637;-122,8360824585;
361,4099426270;-122,8628768921;
362,2430114746;-122,8896713257;
363,0780029297;-122,9192047119;
363,9151306152;-122,9548950195;
364,7539672852;-122,9905776978;
365,5947570801;-123,0262680054;
366,4374694824;-123,0675811768;
367,2823486328;-123,1242370605;
368,1289672852;-123,1808776855;
368,9775390625;-123,2375183105;
369,8282470703;-123,2883300781;
370,6807250977;-123,3230438232;
371,5351867676;-123,3577499390;
372,3917846680;-123,3924713135;
373,2501831055;-123,4246215820;
374,1105346680;-123,4508056641;
374,9729003906;-123,4769973755;
375,8374328613;-123,5031890869;
376,7037658691;-123,5366287231;
377,5721130371;-123,5824584961;
378,4426574707;-123,6283035278;
379,3149719238;-123,6741333008;
380,1893310547;-123,7190246582;
381,0658874512;-123,7628860474;
381,9442749023;-123,8067398071;
382,8247070313;-123,8505935669;
383,7073364258;-123,8797988892;
384,5918273926;-123,8998031616;
385,4783325195;-123,9197998047;
386,3668823242;-123,9397964478;
387,2576904297;-123,9598007202;
388,1503601074;-123,9797973633;
389,0450744629;-123,9997940063;
389,9420471191;-124,0197982788;
390,8409118652;-124,0397949219;
391,7418212891;-124,0597991943;
392,6450195313;-124,0798034668;
393,5501098633;-124,0998001099;
394,4572753906;-124,1197967529;
395,3665161133;-124,1397933960;
396,2780761719;-124,1597976685;
397,1915283203;-124,1797943115;
398,1070861816;-124,1997985840;
399,0249633789;-124,2197952271;
399,9447631836;-124,2397994995;
400,8666381836;-124,4038467407;
401,7908935547;-124,6016464233;
402,7170410156;-124,7993927002;
403,6453552246;-125,0062866211;
404,5759887695;-125,2669067383;
405,5085754395;-125,5274734497;
406,4432983398;-125,7880325317;
407,3801879883;-126,0574111938;
408,3194580078;-126,3352813721;
409,2606506348;-126,6130828857;
410,2040100098;-126,8908843994;
411,1498107910;-127,1234893799;
412,0975341797;-127,3513870239;
413,0474548340;-127,5792922974;
413,9997863770;-127,7816772461;
414,9540710449;-127,9327163696;
415,9105834961;-128,0837554932;
416,8692626953;-128,2348022461;
417,8304138184;-128,3549194336;
418,7935485840;-128,4666442871;
419,7588806152;-128,5783691406;
420,7266845703;-128,6945495605;
421,6965026855;-128,8226165771;
422,6685485840;-128,9506835938;
423,6430664063;-129,0787811279;
424,6195983887;-129,2331085205;
425,5983581543;-129,3866577148;
426,5796203613;-129,3866577148;
427,5629272461;-129,3866577148;
428,5484924316;-129,3866577148;
429,5363159180;-129,3866577148;
430,5266723633;-129,3866577148;
431,5190734863;-129,3866577148;
432,5137634277;-129,3866577148;
433,5109558105;-129,3866577148;
434,5102233887;-129,3866577148;
435,5118103027;-129,3866577148;
436,5159301758;-129,3866577148;
437,5221252441;-129,3866577148;
438,5306701660;-129,3866577148;
439,5415039063;-129,3866577148;
440,5549316406;-129,3866577148;
441,5704345703;-129,3947296143;
442,5882873535;-129,5563812256;
443,6087341309;-129,6076660156;
444,6312561035;-129,6240844727;
445,6561889648;-129,6240844727;
446,6836853027;-129,6240844727;
447,7133178711;-129,6240844727;
448,7453308105;-129,6240844727;
449,7799682617;-129,6240844727;
450,8167419434;-129,6240844727;
451,8559265137;-129,6240844727;
452,8974609375;-129,6240844727;
453,9416809082;-129,6240844727;
454,9880371094;-129,6240844727;
456,0368347168;-129,6240844727;
457,0882873535;-129,6240844727;
458,1419067383;-129,6240844727;
459,1979370117;-129,6240844727;
460,2566833496;-129,8967590332;
461,3175964355;-130,1838378906;
462,3809814453;-130,4602355957;
463,4468078613;-130,7366180420;
464,5153198242;-131,0130767822;
465,5860900879;-131,2079010010;
466,6592712402;-131,4003601074;
467,7352294922;-131,5928649902;
468,8133850098;-131,6930084229;
469,8940429688;-131,7560577393;
470,9774169922;-131,7560577393;
472,0630798340;-131,7560577393;
473,1512145996;-131,7560577393;
474,2421264648;-131,7560577393;
475,3352661133;-131,7560577393;
476,4309692383;-131,7560577393;
477,5291748047;-131,7560577393;
478,6301574707;-131,7560577393;
479,7334289551;-131,7560577393;
480,8392639160;-131,7560577393;
481,9479064941;-131,7560577393;
483,0588073730;-131,7560577393;
484,1723022461;-131,7560577393;
485,2886352539;-131,7560577393;
486,4072570801;-131,7560577393;
487,5284423828;-131,7560577393;
488,6522521973;-131,7560577393;
489,7788696289;-131,5165405273;
490,9078674316;-131,5165405273;
492,0394287109;-131,5165405273;
493,1738891602;-131,5165405273;
494,3106994629;-131,5165405273;
495,4501037598;-131,5165405273;
496,5924377441;-131,5165405273;
497,7371215820;-131,5165405273;
498,8844299316;-131,5165405273;
500,0343933105;-131,5165405273;
501,1872863770;-131,5165405273;
502,3425598145;-131,5165405273;
503,5004882813;-131,5165405273;
504,6613769531;-131,5165405273;
505,8246459961;-131,5165405273;
506,9906311035;-131,5165405273;
508,1595458984;-131,5165405273;
509,3309020996;-131,5165405273;
510,5049438477;-131,5413513184;
511,6819763184;-131,6107482910;
512,8614501953;-131,6207885742;
514,0436401367;-131,6509704590;
515,2285156250;-131,7120056152;
516,4164428711;-131,7605895996;
517,6068115234;-131,7907104492;
518,7999267578;-131,8132171631;
519,9960937500;-131,8416442871;
521,1947021484;-131,8700714111;
522,3961181641;-131,9041595459;
523,6005859375;-131,9655303955;
524,8074951172;-132,0269012451;
526,0172119141;-132,0768127441;
527,2297363281;-132,1064300537;
528,4453125000;-132,1360626221;
529,6633911133;-132,1684722900;
530,8843383789;-132,2029876709;
532,1083374023;-132,2375183105;
533,3348999023;-132,3585968018;
534,5642700195;-132,5022735596;
535,7967529297;-132,6437377930;
537,0317993164;-132,7233428955;
538,2697143555;-132,8029632568;
539,5107421875;-132,8810577393;
540,7543945313;-132,9554595947;
542,0008544922;-133,0298614502;
543,2501831055;-133,0740814209;
544,5027465820;-133,0957336426;
545,7578735352;-133,1174011230;
547,0158691406;-133,1480255127;
548,2770385742;-133,1800384521;
549,5408935547;-133,2145080566;
550,8076171875;-133,2604370117;
552,0775756836;-133,3063812256;
553,3501586914;-133,3398437500;
554,6256713867;-133,3610839844;
555,9041137695;-133,3823394775;
557,1857910156;-133,4085998535;
558,4701538086;-133,4357452393;
559,7575073242;-133,5321197510;
561,0480957031;-133,8913574219;
562,3413085938;-134,2505035400;
563,6375732422;-134,5739746094;
564,9370727539;-134,8721313477;
566,2393188477;-135,1702117920;
567,5445556641;-135,5162048340;
568,8530883789;-135,8634490967;
570,1643066406;-136,2549133301;
571,4785766602;-136,7177429199;
572,7958984375;-136,8777008057;
574,1165161133;-136,8777008057;
575,4399414063;-136,8777008057;
576,7663574219;-136,8777008057;
578,0961303711;-136,8777008057;
579,4287109375;-137,1462860107;
580,7643432617;-137,1581115723;
582,1033325195;-137,1805877686;
583,4451293945;-137,5055084229;
584,7900390625;-137,5789794922;
586,1380004883;-137,7456512451;
587,4894409180;-137,9799194336;
588,8436279297;-138,3307342529;
590,2009277344;-138,3352355957;
591,5617065430;-138,4544372559;
592,9253540039;-138,9321746826;
594,2920532227;-139,0154418945;
595,6622924805;-139,0823364258;
597,0353393555;-139,3151550293;
598,4114990234;-139,3151550293;
599,7912597656;-139,3151550293;
601,1738281250;-139,3151550293;
602,5595703125;-139,1291809082;
603,9484863281;-139,0823364258;
605,3409423828;-139,0154418945;
606,7363281250;-138,9431610107;
608,1348876953;-138,8012695313;
609,5369873047;-138,6656951904;
610,9420166016;-138,5145111084;
612,3502807617;-138,4544372559;
613,7621459961;-138,3490295410;
615,1769409180;-138,3307342529;
616,5949707031;-138,3307342529;
618,0162353516;-138,3307342529;
619,4411621094;-138,3307342529;
620,8690185547;-138,3307342529;
622,3001708984;-138,3307342529;
623,7349243164;-138,3307342529;
625,1726684570;-138,3307342529;
626,6137695313;-138,3307342529;
628,0584716797;-138,3307342529;
629,5062255859;-138,3307342529;
630,9572753906;-138,1807708740;
632,4120483398;-137,9996643066;
633,8697509766;-137,8186035156;
635,3308715820;-137,6486206055;
636,7953491211;-137,4805908203;
638,2636108398;-137,4529418945;
639,7348022461;-137,4496154785;
641,2094726563;-137,4369049072;
642,6878662109;-137,4265136719;
644,1693115234;-137,3958740234;
645,6541137695;-137,3653869629;
647,1427612305;-137,3566436768;
648,6344604492;-137,3566436768;
650,1296386719;-137,3566436768;
651,6282348633;-137,3566436768;
653,1306152344;-137,3566436768;
654,6361694336;-137,3566436768;
656,1451416016;-137,3566436768;
657,6579589844;-137,3566436768;
659,1738891602;-137,3566436768;
660,6933593750;-137,3566436768;
662,2166748047;-137,3566436768;
663,7431030273;-137,3566436768;
665,2730712891;-137,3653869629;
666,8065795898;-137,3708343506;
668,3439941406;-137,3958740234;
669,8845825195;-137,4265136719;
671,4287109375;-137,4369049072;
672,9767456055;-137,4496154785;
674,5280151367;-137,4529418945;
676,0828857422;-137,5122222900;
677,6416625977;-137,6732177734;
679,2036743164;-137,9235992432;
680,7692871094;-138,2195129395;
682,3388671875;-138,5718536377;
683,9116821289;-138,9812927246;
685,4881591797;-139,4253997803;
687,0682983398;-139,9365234375;
688,6524047852;-140,2474670410;
690,2398071289;-140,2556762695;
691,8308105469;-140,2894592285;
693,4259643555;-140,3197784424;
695,0243530273;-140,3712463379;
696,6264038086;-140,4440460205;
698,2325439453;-140,4630889893;
699,8420410156;-140,5008544922;
701,4552001953;-140,6549224854;
703,0721435547;-140,6764526367;
704,6931762695;-140,8308715820;
706,3175048828;-140,8308715820;
707,9456176758;-140,8308715820;
709,5778808594;-140,8308715820;
711,2135009766;-140,8308715820;
712,8529052734;-140,8308715820;
714,4964599609;-140,8308715820;
716,1434326172;-140,8308715820;
717,7941894531;-140,8308715820;
719,4491577148;-140,6764526367;
721,1075439453;-140,6624603271;
722,7697753906;-140,6549224854;
724,4357910156;-140,5096435547;
726,1060791016;-140,5008544922;
727,7797851563;-140,5008544922;
729,4573974609;-140,5008544922;
731,1392211914;-140,5008544922;
732,8245239258;-140,5008544922;
734,5137329102;-140,5008544922;
736,2072753906;-140,5096435547;
737,9042968750;-140,6549224854;
739,6052246094;-140,6624603271;
741,3100585938;-140,8308715820;
743,0192260742;-140,9009552002;
744,7319335938;-141,0730285645;
746,4486083984;-141,1298522949;
748,1696166992;-141,2102050781;
749,8942260742;-141,3383941650;
751,6227416992;-141,3383941650;
753,3557128906;-141,2228088379;
755,0922851563;-141,1298522949;
756,8328247070;-141,1033477783;
758,5777587891;-141,0730285645;
760,3263549805;-141,0186004639;
762,0789794922;-140,8874816895;
763,8356323242;-140,8874816895;
765,5967407227;-140,8874816895;
767,3614501953;-140,8874816895;
769,1303100586;-140,8874816895;
770,9036254883;-140,8874816895;
772,6806030273;-140,8874816895;
774,4616699219;-140,8874816895;
776,2473144531;-140,8874816895;
778,0366210938;-141,0186004639;
779,8300170898;-141,1033477783;
781,6276245117;-141,1298522949;
783,4297485352;-141,2228088379;
785,2355957031;-141,3587341309;
787,0455932617;-141,4727783203;
788,8602294922;-141,8608245850;
790,6786499023;-141,8608245850;
792,5012207031;-141,8608245850;
794,3284301758;-141,8608245850;
796,1593627930;-141,8608245850;
797,9945678711;-141,8608245850;
799,8344726563;-141,8608245850;
801,6781616211;-141,8608245850;
803,5260620117;-141,8608245850;
805,3782348633;-141,8608245850;
807,2351684570;-141,8608245850;
809,0958862305;-141,8608245850;
810,9609375000;-142,1036987305;
812,8306884766;-142,5687408447;
814,7042846680;-142,8291931152;
816,5822753906;-142,8692169189;
818,4649658203;-142,9185485840;
820,3516235352;-142,9185485840;
822,2425537109;-142,9185485840;
824,1378784180;-142,9185485840;
826,0380249023;-142,9185485840;
827,9421386719;-142,9185485840;
829,8505859375;-142,9185485840;
831,7639160156;-142,9185485840;
833,6812133789;-142,9185485840;
835,6029052734;-142,9185485840;
837,5294799805;-142,9185485840;
839,4600219727;-142,9185485840;
841,3950195313;-142,9185485840;
843,3349609375;-142,9185485840;
845,2789306641;-142,9185485840;
847,2273559570;-142,9185485840;
849,1802978516;-142,9185485840;
851,1381835938;-142,9185485840;
853,1000976563;-142,7778930664;
855,0665893555;-141,9470825195;
857,0380249023;-141,0969848633;
859,0135498047;-140,4044799805;
860,9936523438;-139,9815826416;
862,9787597656;-139,9406738281;
864,9680175781;-139,9092407227;
866,9617919922;-139,8297576904;
868,9602050781;-139,8184967041;
870,9636840820;-139,7892456055;
872,9713134766;-139,6440887451;
874,9835815430;-139,5950469971;
877,0009765625;-139,5950469971;
879,0225219727;-139,5950469971;
881,0487670898;-139,5950469971;
883,0800781250;-139,5950469971;
885,1156616211;-139,5950469971;
887,1559448242;-139,5950469971;
889,2008666992;-139,5950469971;
891,2510375977;-139,5950469971;
893,3054199219;-139,5950469971;
895,3645629883;-139,5950469971;
897,4289550781;-139,5950469971;
899,4975585938;-139,6440887451;
901,5709838867;-139,7024078369;
903,6496582031;-139,7892456055;
905,7326660156;-139,8184967041;
907,8204345703;-139,9092407227;
909,9135131836;-139,9406738281;
912,0109252930;-139,9815826416;
914,1131591797;-140,1436309814;
916,2202758789;-140,6099395752;
918,3327026367;-141,1071166992;
920,4495239258;-141,4966125488;
922,5712280273;-141,5888671875;
924,6983642578;-141,6585388184;
926,8298339844;-141,6585388184;
928,9662475586;-141,6585388184;
931,1080932617;-141,6585388184;
933,2543334961;-141,6585388184;
935,4055786133;-141,6585388184;
937,5617675781;-141,6585388184;
939,7233886719;-141,6585388184;
941,8895263672;-141,6751403809;
944,0606689453;-141,7604064941;
946,2373046875;-141,7698516846;
948,4184570313;-141,7809448242;
950,6046142578;-141,7891693115;
952,7963867188;-141,8252716064;
954,9926147461;-141,8724670410;
957,1939697266;-141,8840942383;
959,4008789063;-141,9639282227;
961,6123657227;-141,9860382080;
963,8289794922;-141,9860382080;
966,0506591797;-141,9860382080;
968,2780151367;-141,9639282227;
970,5099487305;-141,9525604248;
972,7470092773;-141,8840942383;
974,9898071289;-141,8724670410;
977,2372436523;-141,7968444824;
979,4898681641;-141,7891693115;
981,7481689453;-141,7809448242;
984,0111694336;-141,7698516846;
986,2794189453;-141,7604064941;
988,5528564453;-141,6751403809;
990,8320922852;-141,6751403809;
993,1160278320;-141,6751403809;
995,4052124023;-141,6320037842;
997,7002563477;-141,5745391846;
1000,0000000000;-141,5539703369;
1002,3050537109;-141,4274749756;
1004,6160278320;-141,4207458496;
1006,9317016602;-141,4207458496;
1009,2527465820;-141,4207458496;
1011,5797119141;-141,4207458496;
1013,9114990234;-141,4207458496;
1016,2485961914;-141,3419189453;
1018,5911254883;-141,3103485107;
1020,9396362305;-141,2181701660;
1023,2929687500;-141,1104888916;
1025,6517333984;-141,1104888916;
1028,0164794922;-141,1104888916;
1030,3861083984;-141,1104888916;
1032,7612304688;-141,1104888916;
1035,1424560547;-141,1104888916;
1037,5284423828;-141,1104888916;
1039,9200439453;-141,1104888916;
1042,3171386719;-141,1104888916;
1044,7203369141;-141,1104888916;
1047,1285400391;-141,1104888916;
1049,5422363281;-141,1104888916;
1051,9620361328;-141,1104888916;
1054,3868408203;-141,1104888916;
1056,8173828125;-141,1104888916;
1059,2539062500;-141,3103485107;
1061,6955566406;-141,3419189453;
1064,1429443359;-141,4207458496;
1066,5964355469;-141,4413146973;
1069,0549316406;-141,8849639893;
1071,5192871094;-142,2205657959;
1073,9891357422;-142,2205657959;
1076,4653320313;-142,2205657959;
1078,9466552734;-142,2205657959;
1081,4337158203;-142,2205657959;
1083,9271240234;-142,2205657959;
1086,4256591797;-142,2205657959;
1088,9299316406;-142,2205657959;
1091,4405517578;-142,2205657959;
1093,9564208984;-142,2205657959;
1096,4781494141;-142,2205657959;
1099,0056152344;-142,2205657959;
1101,5394287109;-142,2205657959;
1104,0786132813;-142,2205657959;
1106,6235351563;-142,2205657959;
1109,1750488281;-142,2205657959;
1111,7316894531;-142,2205657959;
1114,2943115234;-142,2205657959;
1116,8635253906;-142,0822601318;
1119,4379882813;-141,7920379639;
1122,0183105469;-141,5588226318;
1124,6052246094;-141,4042510986;
1127,1976318359;-141,3956604004;
1129,7958984375;-141,3724212646;
1132,4001464844;-141,3724212646;
1135,0109863281;-141,3724212646;
1137,6273193359;-141,3724212646;
1140,2496337891;-141,3724212646;
1142,8785400391;-141,3724212646;
1145,5129394531;-141,3724212646;
1148,1534423828;-141,3724212646;
1150,8006591797;-141,3724212646;
1153,4533691406;-141,3724212646;
1156,1121826172;-141,3724212646;
1158,7770996094;-141,3724212646;
1161,4487304688;-141,3724212646;
1164,1259765625;-141,3724212646;
1166,8093261719;-141,3724212646;
1169,4996337891;-141,3724212646;
1172,1954345703;-141,3724212646;
1174,8973388672;-141,4042510986;
1177,6062011719;-141,4985961914;
1180,3206787109;-141,6097259521;
1183,0413818359;-141,6814422607;
1185,7684326172;-141,7797241211;
1188,5023193359;-141,8263854980;
1191,2419433594;-141,8720550537;
1193,9877929688;-141,9992370605;
1196,7407226563;-142,1847229004;
1199,4992675781;-142,2252197266;
1202,2642822266;-142,2252197266;
1205,0361328125;-142,2252197266;
1207,8138427734;-142,2252197266;
1210,5980224609;-142,2252197266;
1213,3891601563;-142,2252197266;
1216,1861572266;-142,2252197266;
1218,9895019531;-142,2252197266;
1221,7993164063;-142,2252197266;
1224,6163330078;-142,2657775879;
1227,4392089844;-142,2657775879;
1230,2685546875;-142,2657775879;
1233,1051025391;-142,2657775879;
1235,9475097656;-142,1847229004;
1238,7963867188;-142,1452331543;
1241,6525878906;-142,1143188477;
1244,5146484375;-141,9992370605;
1247,3834228516;-141,9424591064;
1250,2586669922;-141,8408203125;
1253,1413574219;-141,8263854980;
1256,0299072266;-141,7797241211;
1258,9251708984;-141,7797241211;
1261,8277587891;-141,7797241211;
1264,7363281250;-141,7797241211;
1267,6516113281;-141,7797241211;
1270,5743408203;-141,8408203125;
1273,5031738281;-141,9424591064;
1276,4385986328;-141,9424591064;
1279,3815917969;-141,8408203125;
1282,3306884766;-141,7424468994;
1285,2866210938;-141,6378326416;
1288,2492675781;-141,6378326416;
1291,2194824219;-141,6378326416;
1294,1958007813;-141,6378326416;
1297,1790771484;-141,6378326416;
1300,1697998047;-141,6378326416;
1303,1667480469;-141,6378326416;
1306,1706542969;-141,6378326416;
1309,1822509766;-141,6378326416;
1312,1999511719;-141,6378326416;
1315,2247314453;-141,6378326416;
1318,2563476563;-141,6378326416;
1321,2957763672;-141,6378326416;
1324,3414306641;-141,5696105957;
1327,3941650391;-141,4892883301;
1330,4545898438;-141,4880981445;
1333,5214843750;-141,4720306396;
1336,5953369141;-141,4720306396;
1339,6770019531;-141,4892883301;
1342,7650146484;-141,5696105957;
1345,8602294922;-141,6378326416;
1348,9632568359;-141,6882324219;
1352,0727539063;-141,7424468994;
1355,1893310547;-141,7936096191;
1358,3131103516;-141,9890747070;
1361,4448242188;-142,0738830566;
1364,5831298828;-142,1126251221;
1367,7285156250;-142,1126251221;
1370,8820800781;-142,1126251221;
1374,0419921875;-142,1126251221;
1377,2092285156;-142,1126251221;
1380,3846435547;-142,1126251221;
1383,5665283203;-142,1126251221;
1386,7557373047;-142,1126251221;
1389,9522705078;-142,1126251221;
1393,1569824219;-142,1126251221;
1396,3682861328;-142,1126251221;
1399,5870361328;-142,0738830566;
1402,8139648438;-141,6882324219;
1406,0474853516;-141,6629486084;
1409,2885742188;-141,6629486084;
1412,5378417969;-141,6629486084;
1415,7938232422;-141,6882324219;
1419,0573730469;-141,9437408447;
1422,3292236328;-142,1402282715;
1425,6077880859;-142,2164764404;
1428,8939208984;-142,3814697266;
1432,1876220703;-142,5895385742;
1435,4896240234;-142,5976562500;
1438,7985839844;-142,7823333740;
1442,1151123047;-142,8997344971;
1445,4400634766;-143,1155242920;
1448,7718505859;-143,2013854980;
1452,1114501953;-143,2205352783;
1455,4594726563;-143,4018707275;
1458,8143310547;-143,4641723633;
1462,1770019531;-143,5716552734;
1465,5474853516;-143,5716552734;
1468,9265136719;-143,6378021240;
1472,3125000000;-143,6378021240;
1475,7061767578;-143,5716552734;
1479,1086425781;-143,4641723633;
1482,5180664063;-143,2671661377;
1485,9354248047;-143,2013854980;
1489,3614501953;-143,2013854980;
1492,7945556641;-143,2013854980;
1496,2354736328;-143,2013854980;
1499,6853027344;-143,2013854980;
1503,1420898438;-143,2013854980;
1506,6069335938;-143,2013854980;
1510,0798339844;-143,2013854980;
1513,5615234375;-143,2013854980;
1517,0502929688;-143,2013854980;
1520,5472412109;-143,2013854980;
1524,0531005859;-143,2013854980;
1527,5661621094;-143,2013854980;
1531,0872802734;-143,2013854980;
1534,6173095703;-142,5842895508;
1538,1547851563;-142,5842895508;
1541,7003173828;-142,5842895508;
1545,2540283203;-142,5842895508;
1548,8167724609;-142,5842895508;
1552,3869628906;-142,5842895508;
1555,9653320313;-142,5842895508;
1559,5527343750;-142,5842895508;
1563,1477050781;-142,5842895508;
1566,7508544922;-142,5842895508;
1570,3631591797;-142,5842895508;
1573,9829101563;-142,5842895508;
1577,6110839844;-142,5842895508;
1581,2475585938;-142,5842895508;
1584,8933105469;-142,5842895508;
1588,5466308594;-142,5842895508;
1592,2083740234;-142,4885101318;
1595,8793945313;-142,3084869385;
1599,5579833984;-142,1562347412;
1603,2451171875;-142,1562347412;
1606,9415283203;-142,1562347412;
1610,6457519531;-142,1562347412;
1614,3583984375;-142,1562347412;
1618,0804443359;-142,1562347412;
1621,8101806641;-142,1562347412;
