sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
354,8133544922;-119,8797836304;
355,6314086914;-119,8997879028;
356,4511718750;-119,9238815308;
357,2728271484;-119,9520263672;
358,0963439941;-119,9801712036;
358,9219970703;-120,0083236694;
359,7493286133;-120,0449676514;
360,5785827637;-120,0951080322;
361,4099426270;-120,1452560425;
362,2430114746;-120,1953964233;
363,0780029297;-120,2504119873;
363,9151306152;-120,3163604736;
364,7539672852;-120,3823013306;
365,5947570801;-120,4482345581;
366,4374694824;-120,5096511841;
367,2823486328;-120,5587615967;
368,1289672852;-120,6078643799;
368,9775390625;-120,6569595337;
369,8282470703;-120,6986236572;
370,6807250977;-120,7197341919;
371,5351867676;-120,7408523560;
372,3917846680;-120,7619705200;
373,2501831055;-120,7890548706;
374,1105346680;-120,8300781250;
374,9729003906;-120,8711090088;
375,8374328613;-120,9121398926;
376,7037658691;-120,9520416260;
377,5721130371;-120,9900054932;
378,4426574707;-121,0279846191;
379,3149719238;-121,0659561157;
380,1893310547;-121,0953979492;
381,0658874512;-121,1154022217;
381,9442749023;-121,1353988647;
382,8247070313;-121,1554031372;
383,7073364258;-121,2122268677;
384,5918273926;-121,2921905518;
385,4783325195;-121,3721466064;
386,3668823242;-121,4521102905;
387,2576904297;-121,5222930908;
388,1503601074;-121,5898284912;
389,0450744629;-121,6573562622;
389,9420471191;-121,7249069214;
390,8409118652;-121,7602920532;
391,7418212891;-121,7955093384;
392,6450195313;-121,8307342529;
393,5501098633;-121,8952789307;
394,4572753906;-122,0555648804;
395,3665161133;-122,2158432007;
396,2780761719;-122,3761596680;
397,1915283203;-122,5301437378;
398,1070861816;-122,6779937744;
399,0249633789;-122,6779937744;
399,9447631836;-122,6779937744;
400,8666381836;-122,6779937744;
401,7908935547;-122,6779937744;
402,7170410156;-122,6779937744;
403,6453552246;-122,6779937744;
404,5759887695;-122,6779937744;
405,5085754395;-122,6779937744;
406,4432983398;-122,6779937744;
407,3801879883;-122,6779937744;
408,3194580078;-122,6779937744;
409,2606506348;-122,6779937744;
410,2040100098;-122,6779937744;
411,1498107910;-122,6779937744;
412,0975341797;-122,6779937744;
413,0474548340;-122,6779937744;
413,9997863770;-122,6779937744;
414,9540710449;-122,6089859009;
415,9105834961;-122,3921127319;
416,8692626953;-122,3921127319;
417,8304138184;-122,3921127319;
418,7935485840;-122,3921127319;
419,7588806152;-122,3921127319;
420,7266845703;-122,3921127319;
421,6965026855;-122,3921127319;
422,6685485840;-122,3921127319;
423,6430664063;-122,3921127319;
424,6195983887;-122,3921127319;
425,5983581543;-122,3921127319;
426,5796203613;-122,3921127319;
427,5629272461;-122,3921127319;
428,5484924316;-122,3921127319;
429,5363159180;-122,3921127319;
430,5266723633;-122,3921127319;
431,5190734863;-122,3921127319;
432,5137634277;-122,3921127319;
433,5109558105;-122,5972290039;
434,5102233887;-122,8530426025;
435,5118103027;-123,1259002686;
436,5159301758;-123,3988113403;
437,5221252441;-123,6685638428;
438,5306701660;-123,9112472534;
439,5415039063;-124,1539154053;
440,5549316406;-124,3966445923;
441,5704345703;-124,5918807983;
442,5882873535;-124,7712326050;
443,6087341309;-124,9506301880;
444,6312561035;-125,1143493652;
445,6561889648;-125,2565917969;
446,6836853027;-125,3988723755;
447,7133178711;-125,5430526733;
448,7453308105;-125,7017211914;
449,7799682617;-125,8604202271;
450,8167419434;-126,0190811157;
451,8559265137;-126,2167434692;
452,8974609375;-126,4217834473;
453,9416809082;-126,6268692017;
454,9880371094;-126,8498153687;
456,0368347168;-127,0853347778;
457,0882873535;-127,3209075928;
458,1419067383;-127,5472869873;
459,1979370117;-127,7573242188;
460,2566833496;-127,9674148560;
461,3175964355;-128,1655578613;
462,3809814453;-128,2981567383;
463,4468078613;-128,4307403564;
464,5153198242;-128,4307403564;
465,5860900879;-128,4307403564;
466,6592712402;-128,4307403564;
467,7352294922;-128,4307403564;
