sep=;
337,2873840332;-122,5601272583;
338,0648803711;-122,5801239014;
338,8441467285;-122,6001281738;
339,6251831055;-122,6201248169;
340,4082336426;-122,6401290894;
341,1929016113;-122,6601257324;
341,9793701172;-122,6801223755;
342,7678527832;-122,7001266479;
343,5579528809;-122,7201232910;
344,3498840332;-122,7401275635;
345,1438293457;-122,7601242065;
345,9393920898;-122,7801284790;
346,7368164063;-122,8001251221;
347,5360717773;-122,8201217651;
348,3373718262;-122,8401260376;
349,1402893066;-122,8601226807;
349,9450988770;-122,8801193237;
350,7519226074;-122,9001235962;
351,5604553223;-122,9201278687;
352,3708190918;-122,9401245117;
353,1832580566;-122,9601287842;
353,9973754883;-122,9801254272;
354,8133544922;-123,0001220703;
355,6314086914;-123,0201263428;
356,4511718750;-123,0441665649;
357,2728271484;-123,0722045898;
358,0963439941;-123,1002426147;
358,9219970703;-123,1282882690;
359,7493286133;-123,1550750732;
360,5785827637;-123,1798934937;
361,4099426270;-123,2047195435;
362,2430114746;-123,2295379639;
363,0780029297;-123,2726898193;
363,9151306152;-123,3569412231;
364,7539672852;-123,4411697388;
365,5947570801;-123,5253982544;
366,4374694824;-123,5943908691;
367,2823486328;-123,6218795776;
368,1289672852;-123,6493606567;
368,9775390625;-123,6768417358;
369,8282470703;-123,7092742920;
370,6807250977;-123,7553558350;
371,5351867676;-123,8014373779;
372,3917846680;-123,8475341797;
373,2501831055;-123,8971176147;
374,1105346680;-123,9549026489;
374,9729003906;-124,0126800537;
375,8374328613;-124,0704727173;
376,7037658691;-124,1211242676;
377,5721130371;-124,1596069336;
378,4426574707;-124,1980895996;
379,3149719238;-124,2365722656;
380,1893310547;-124,2846374512;
381,0658874512;-124,3433380127;
381,9442749023;-124,4020233154;
382,8247070313;-124,4607162476;
383,7073364258;-124,4956512451;
384,5918273926;-124,5156555176;
385,4783325195;-124,5356521606;
386,3668823242;-124,5556488037;
387,2576904297;-124,5756530762;
388,1503601074;-124,5956497192;
389,0450744629;-124,6156463623;
389,9420471191;-124,6356506348;
390,8409118652;-124,6556549072;
391,7418212891;-124,6756515503;
392,6450195313;-124,6956558228;
393,5501098633;-124,7156524658;
394,4572753906;-124,7356491089;
395,3665161133;-124,7556457520;
396,2780761719;-124,7756500244;
397,1915283203;-124,7956466675;
398,1070861816;-124,8011093140;
399,0249633789;-124,8035659790;
399,9447631836;-124,8156509399;
400,8666381836;-124,8218612671;
401,7908935547;-124,8356475830;
402,7170410156;-124,8426208496;
403,6453552246;-124,8556518555;
404,5759887695;-124,9424209595;
405,5085754395;-125,0812454224;
406,4432983398;-125,2200698853;
407,3801879883;-125,4022369385;
408,3194580078;-125,6259078979;
409,2606506348;-125,8495254517;
410,2040100098;-126,0731430054;
411,1498107910;-126,2752151489;
412,0975341797;-126,4750213623;
413,0474548340;-126,6748352051;
413,9997863770;-126,8597488403;
414,9540710449;-127,0146636963;
415,9105834961;-127,1695785522;
416,8692626953;-127,3244934082;
417,8304138184;-127,4611434937;
418,7935485840;-127,5928115845;
419,7588806152;-127,7244796753;
420,7266845703;-127,8582077026;
421,6965026855;-127,9973449707;
422,6685485840;-128,1364746094;
423,6430664063;-128,2756500244;
424,6195983887;-128,4250183105;
425,5983581543;-128,5772399902;
426,5796203613;-128,6363372803;
427,5629272461;-128,6363372803;
428,5484924316;-128,6363372803;
429,5363159180;-128,6363372803;
430,5266723633;-128,6363372803;
431,5190734863;-128,6363372803;
432,5137634277;-128,6363372803;
433,5109558105;-128,6363372803;
434,5102233887;-128,6363372803;
435,5118103027;-128,6363372803;
436,5159301758;-128,6363372803;
437,5221252441;-128,6656951904;
438,5306701660;-128,7294921875;
439,5415039063;-128,8622283936;
440,5549316406;-128,8797760010;
441,5704345703;-129,0259857178;
442,5882873535;-129,0549468994;
443,6087341309;-129,0880889893;
444,6312561035;-129,1721954346;
445,6561889648;-129,2930145264;
446,6836853027;-129,3184356689;
447,7133178711;-129,4304351807;
448,7453308105;-129,4355010986;
449,7799682617;-129,4443054199;
450,8167419434;-129,4443054199;
451,8559265137;-129,4443054199;
452,8974609375;-129,4443054199;
453,9416809082;-129,4443054199;
454,9880371094;-129,4443054199;
456,0368347168;-129,4443054199;
457,0882873535;-129,4443054199;
458,1419067383;-129,9118499756;
459,1979370117;-130,5193328857;
460,2566833496;-131,1269836426;
461,3175964355;-131,7530975342;
462,3809814453;-132,4818725586;
463,4468078613;-133,2106323242;
464,5153198242;-133,7024383545;
465,5860900879;-133,7024383545;
466,6592712402;-133,7024383545;
467,7352294922;-133,7024383545;
468,8133850098;-133,7024383545;
469,8940429688;-133,7024383545;
470,9774169922;-133,7024383545;
472,0630798340;-133,7024383545;
473,1512145996;-133,7024383545;
474,2421264648;-133,7024383545;
475,3352661133;-133,7024383545;
476,4309692383;-133,7024383545;
477,5291748047;-133,7024383545;
478,6301574707;-133,7024383545;
479,7334289551;-133,7024383545;
480,8392639160;-133,7024383545;
481,9479064941;-133,7024383545;
483,0588073730;-133,7024383545;
484,1723022461;-133,3670349121;
485,2886352539;-133,0497894287;
486,4072570801;-132,7655639648;
487,5284423828;-132,4813385010;
488,6522521973;-132,3196868896;
489,7788696289;-132,3196868896;
490,9078674316;-132,3196868896;
492,0394287109;-132,3196868896;
493,1738891602;-132,2232818604;
494,3106994629;-132,1964416504;
495,4501037598;-132,0989837646;
496,5924377441;-132,0183868408;
497,7371215820;-131,8783264160;
498,8844299316;-131,8531646729;
500,0343933105;-131,8135375977;
501,1872863770;-131,7026367188;
502,3425598145;-131,7026367188;
503,5004882813;-131,7026367188;
504,6613769531;-131,7026367188;
505,8246459961;-131,7026367188;
506,9906311035;-131,7026367188;
508,1595458984;-131,7026367188;
509,3309020996;-131,7026367188;
510,5049438477;-131,7026367188;
511,6819763184;-131,7026367188;
512,8614501953;-131,7559967041;
514,0436401367;-131,7793426514;
515,2285156250;-131,8026733398;
516,4164428711;-131,8531646729;
517,6068115234;-131,8625030518;
518,7999267578;-131,8783264160;
519,9960937500;-131,9870300293;
521,1947021484;-132,0989837646;
522,3961181641;-132,1115570068;
523,6005859375;-132,1964416504;
524,8074951172;-132,1982727051;
526,0172119141;-132,2562103271;
527,2297363281;-132,3141632080;
528,4453125000;-132,3196868896;
529,6633911133;-132,3533935547;
530,8843383789;-132,3533935547;
532,1083374023;-132,3533935547;
533,3348999023;-132,3533935547;
534,5642700195;-132,3877410889;
535,7967529297;-132,4269561768;
537,0317993164;-132,5983276367;
538,2697143555;-132,7696990967;
539,5107421875;-132,8989105225;
540,7543945313;-132,9274597168;
542,0008544922;-132,9559936523;
543,2501831055;-132,9975280762;
544,5027465820;-133,0487823486;
545,7578735352;-133,1000061035;
547,0158691406;-133,1555023193;
548,2770385742;-133,2116699219;
549,5408935547;-133,2626190186;
550,8076171875;-133,2894439697;
552,0775756836;-133,3162689209;
553,3501586914;-133,3468170166;
554,6256713867;-133,3810272217;
555,9041137695;-133,4152221680;
557,1857910156;-133,7458496094;
558,4701538086;-134,1293029785;
559,7575073242;-134,5858001709;
561,0480957031;-135,3197174072;
562,3413085938;-136,0534210205;
563,6375732422;-136,0534210205;
564,9370727539;-136,0534210205;
566,2393188477;-136,0534210205;
567,5445556641;-136,0534210205;
568,8530883789;-136,0534210205;
570,1643066406;-136,0534210205;
571,4785766602;-136,0534210205;
572,7958984375;-136,0534210205;
574,1165161133;-136,0534210205;
575,4399414063;-136,0534210205;
576,7663574219;-136,0534210205;
578,0961303711;-136,0534210205;
579,4287109375;-136,0534210205;
580,7643432617;-136,0534210205;
582,1033325195;-136,0534210205;
583,4451293945;-136,0534210205;
584,7900390625;-136,0534210205;
586,1380004883;-135,9872741699;
587,4894409180;-135,2139739990;
588,8436279297;-134,7155151367;
590,2009277344;-134,7155151367;
591,5617065430;-134,7155151367;
592,9253540039;-134,7155151367;
594,2920532227;-134,7155151367;
595,6622924805;-134,7155151367;
597,0353393555;-134,7155151367;
598,4114990234;-134,7155151367;
599,7912597656;-134,7155151367;
601,1738281250;-134,7155151367;
602,5595703125;-134,7155151367;
603,9484863281;-134,7155151367;
605,3409423828;-134,7155151367;
606,7363281250;-134,7155151367;
608,1348876953;-134,7155151367;
609,5369873047;-134,7155151367;
610,9420166016;-134,7155151367;
612,3502807617;-134,7155151367;
613,7621459961;-135,0945739746;
615,1769409180;-135,2541503906;
616,5949707031;-135,4137268066;
618,0162353516;-135,5279998779;
619,4411621094;-135,6146697998;
620,8690185547;-135,7186279297;
622,3001708984;-135,8769378662;
623,7349243164;-136,0352783203;
625,1726684570;-136,2239379883;
626,6137695313;-136,4169464111;
628,0584716797;-136,5605773926;
629,5062255859;-136,6587066650;
630,9572753906;-136,7393188477;
632,4120483398;-136,7398376465;
633,8697509766;-136,7403564453;
635,3308715820;-136,7899627686;
636,7953491211;-136,8481597900;
638,2636108398;-137,0049591064;
639,7348022461;-137,0049591064;
641,2094726563;-137,0049591064;
642,6878662109;-137,0049591064;
644,1693115234;-137,0049591064;
645,6541137695;-137,0049591064;
647,1427612305;-137,0049591064;
648,6344604492;-137,0049591064;
650,1296386719;-137,0049591064;
651,6282348633;-137,0049591064;
653,1306152344;-137,0049591064;
654,6361694336;-137,0049591064;
656,1451416016;-137,0049591064;
657,6579589844;-137,0049591064;
659,1738891602;-137,0049591064;
660,6933593750;-137,0049591064;
662,2166748047;-137,0049591064;
663,7431030273;-137,0049591064;
665,2730712891;-137,0003509521;
666,8065795898;-136,8397674561;
668,3439941406;-136,8299102783;
669,8845825195;-136,8225860596;
671,4287109375;-136,8183288574;
672,9767456055;-136,8183288574;
674,5280151367;-136,8183288574;
676,0828857422;-136,8183288574;
677,6416625977;-136,8183288574;
679,2036743164;-136,8183288574;
680,7692871094;-136,8183288574;
682,3388671875;-136,8183288574;
683,9116821289;-136,8183288574;
685,4881591797;-136,8183288574;
687,0682983398;-136,8183288574;
688,6524047852;-136,8183288574;
690,2398071289;-136,8183288574;
691,8308105469;-136,8183288574;
693,4259643555;-136,8183288574;
695,0243530273;-136,8183288574;
696,6264038086;-136,8299102783;
698,2325439453;-136,8397674561;
699,8420410156;-136,9744415283;
701,4552001953;-137,1603698730;
703,0721435547;-137,3133087158;
704,6931762695;-137,3133087158;
706,3175048828;-137,3133087158;
707,9456176758;-137,3133087158;
709,5778808594;-137,3133087158;
711,2135009766;-137,3133087158;
712,8529052734;-137,3133087158;
714,4964599609;-137,3133087158;
716,1434326172;-137,3133087158;
717,7941894531;-137,3133087158;
719,4491577148;-137,3133087158;
721,1075439453;-137,3133087158;
722,7697753906;-137,3133087158;
724,4357910156;-137,3133087158;
726,1060791016;-137,3133087158;
727,7797851563;-137,3629608154;
729,4573974609;-137,3872375488;
731,1392211914;-137,6093444824;
732,8245239258;-137,6299285889;
734,5137329102;-137,6911315918;
736,2072753906;-137,6911315918;
737,9042968750;-137,6911315918;
739,6052246094;-137,6911315918;
741,3100585938;-137,6911315918;
743,0192260742;-137,6911315918;
744,7319335938;-137,6911315918;
746,4486083984;-137,6911315918;
748,1696166992;-137,6911315918;
749,8942260742;-137,6911315918;
751,6227416992;-137,6911315918;
753,3557128906;-137,6911315918;
755,0922851563;-137,6911315918;
756,8328247070;-137,6911315918;
758,5777587891;-137,6911315918;
760,3263549805;-137,9747314453;
762,0789794922;-138,2027435303;
763,8356323242;-138,2898406982;
765,5967407227;-138,2964324951;
767,3614501953;-138,3247070313;
769,1303100586;-138,3283538818;
770,9036254883;-138,3655090332;
772,6806030273;-138,3705444336;
774,4616699219;-138,4059753418;
776,2473144531;-138,4374694824;
778,0366210938;-138,4396209717;
779,8300170898;-138,4625244141;
781,6276245117;-138,4625244141;
783,4297485352;-138,4625244141;
785,2355957031;-138,4625244141;
787,0455932617;-138,4625244141;
788,8602294922;-138,4625244141;
790,6786499023;-138,4625244141;
792,5012207031;-138,4625244141;
794,3284301758;-138,4625244141;
796,1593627930;-138,4625244141;
797,9945678711;-138,4417572021;
799,8344726563;-138,4396209717;
801,6781616211;-138,4396209717;
803,5260620117;-138,4374694824;
805,3782348633;-138,4298248291;
807,2351684570;-138,4059753418;
809,0958862305;-138,3995819092;
810,9609375000;-138,3721466064;
812,8306884766;-138,3721466064;
814,7042846680;-138,3721466064;
816,5822753906;-138,3721466064;
818,4649658203;-138,3721466064;
820,3516235352;-138,3995819092;
822,2425537109;-138,3995819092;
824,1378784180;-138,3995819092;
826,0380249023;-138,3721466064;
827,9421386719;-138,3506774902;
829,8505859375;-138,3378906250;
831,7639160156;-138,2934875488;
833,6812133789;-138,2714080811;
835,6029052734;-138,2675933838;
837,5294799805;-138,2251434326;
839,4600219727;-138,2058258057;
841,3950195313;-138,2033233643;
843,3349609375;-138,1878356934;
845,2789306641;-138,1423797607;
847,2273559570;-138,1373291016;
849,1802978516;-138,1205291748;
851,1381835938;-138,1205291748;
853,1000976563;-138,1205291748;
855,0665893555;-138,1205291748;
857,0380249023;-138,1205291748;
859,0135498047;-138,1205291748;
860,9936523438;-138,1205291748;
862,9787597656;-138,1205291748;
864,9680175781;-138,1205291748;
866,9617919922;-138,1205291748;
868,9602050781;-138,1205291748;
870,9636840820;-138,1205291748;
872,9713134766;-138,1423797607;
874,9835815430;-138,2251434326;
877,0009765625;-138,3405609131;
879,0225219727;-138,3506774902;
881,0487670898;-138,3934631348;
883,0800781250;-138,3934631348;
885,1156616211;-138,3934631348;
887,1559448242;-138,3934631348;
889,2008666992;-138,3405609131;
891,2510375977;-138,2440032959;
893,3054199219;-138,2251434326;
895,3645629883;-138,1205291748;
897,4289550781;-138,1205291748;
899,4975585938;-138,1205291748;
901,5709838867;-138,1205291748;
903,6496582031;-138,1205291748;
905,7326660156;-138,1205291748;
907,8204345703;-138,1205291748;
909,9135131836;-138,1205291748;
912,0109252930;-138,1205291748;
914,1131591797;-138,2440032959;
916,2202758789;-138,3405609131;
918,3327026367;-138,3934631348;
920,4495239258;-138,3961181641;
922,5712280273;-138,4187622070;
924,6983642578;-138,4237213135;
926,8298339844;-138,4673614502;
928,9662475586;-138,5426025391;
931,1080932617;-138,5602111816;
933,2543334961;-138,6237030029;
935,4055786133;-138,6237030029;
937,5617675781;-138,6237030029;
939,7233886719;-138,6237030029;
941,8895263672;-138,6237030029;
944,0606689453;-138,6237030029;
946,2373046875;-138,6237030029;
948,4184570313;-138,6237030029;
950,6046142578;-138,6237030029;
952,7963867188;-138,9288177490;
954,9926147461;-139,0113220215;
957,1939697266;-139,0209197998;
959,4008789063;-139,1951293945;
961,6123657227;-139,1951293945;
963,8289794922;-139,1951293945;
966,0506591797;-139,1951293945;
968,2780151367;-139,1951293945;
970,5099487305;-139,1951293945;
972,7470092773;-139,1951293945;
974,9898071289;-139,1951293945;
977,2372436523;-139,1951293945;
979,4898681641;-139,1951293945;
981,7481689453;-139,1951293945;
984,0111694336;-139,1951293945;
986,2794189453;-139,1951293945;
988,5528564453;-139,1951293945;
990,8320922852;-139,1951293945;
993,1160278320;-139,1651153564;
995,4052124023;-139,0209197998;
997,7002563477;-139,0114593506;
1000,0000000000;-139,0113220215;
1002,3050537109;-138,9616241455;
1004,6160278320;-138,9486694336;
1006,9317016602;-138,9340515137;
1009,2527465820;-138,9288177490;
1011,5797119141;-138,8389739990;
1013,9114990234;-138,8389739990;
1016,2485961914;-138,8389739990;
1018,5911254883;-138,8389739990;
1020,9396362305;-138,8389739990;
1023,2929687500;-138,8389739990;
1025,6517333984;-138,8389739990;
1028,0164794922;-138,8389739990;
1030,3861083984;-138,8389739990;
1032,7612304688;-138,8389739990;
1035,1424560547;-138,8389739990;
1037,5284423828;-138,8389739990;
1039,9200439453;-138,8389739990;
1042,3171386719;-138,8389739990;
1044,7203369141;-138,8389739990;
1047,1285400391;-138,8389739990;
1049,5422363281;-138,8389739990;
1051,9620361328;-138,7965698242;
1054,3868408203;-138,7913818359;
1056,8173828125;-138,7582244873;
1059,2539062500;-138,7497863770;
1061,6955566406;-138,7220306396;
1064,1429443359;-138,7220306396;
1066,5964355469;-138,7220306396;
1069,0549316406;-138,7497863770;
1071,5192871094;-138,7582244873;
1073,9891357422;-138,7965698242;
1076,4653320313;-138,8457641602;
1078,9466552734;-138,8967742920;
1081,4337158203;-139,0637207031;
1083,9271240234;-139,0637207031;
1086,4256591797;-139,0637207031;
1088,9299316406;-139,0637207031;
1091,4405517578;-139,0637207031;
1093,9564208984;-139,0637207031;
1096,4781494141;-139,0637207031;
1099,0056152344;-139,0637207031;
1101,5394287109;-139,0540008545;
1104,0786132813;-138,9210357666;
1106,6235351563;-138,8457641602;
1109,1750488281;-138,7929534912;
1111,7316894531;-138,6542510986;
1114,2943115234;-138,6542510986;
1116,8635253906;-138,6542510986;
1119,4379882813;-138,6542510986;
1122,0183105469;-138,6542510986;
1124,6052246094;-138,6542510986;
1127,1976318359;-138,6542510986;
1129,7958984375;-138,6542510986;
1132,4001464844;-138,6542510986;
1135,0109863281;-138,7929534912;
1137,6273193359;-138,8457641602;
1140,2496337891;-138,8899230957;
1142,8785400391;-138,8899230957;
1145,5129394531;-138,8984069824;
1148,1534423828;-138,9210357666;
1150,8006591797;-138,9228057861;
1153,4533691406;-138,9267578125;
1156,1121826172;-138,9758911133;
1158,7770996094;-138,9995117188;
1161,4487304688;-138,9995117188;
1164,1259765625;-138,9995117188;
1166,8093261719;-138,9758911133;
1169,4996337891;-138,9267578125;
1172,1954345703;-138,9228057861;
1174,8973388672;-138,9210357666;
1177,6062011719;-138,8984069824;
1180,3206787109;-138,8984069824;
1183,0413818359;-138,8984069824;
1185,7684326172;-138,8984069824;
1188,5023193359;-138,8984069824;
1191,2419433594;-138,8984069824;
1193,9877929688;-138,8984069824;
1196,7407226563;-138,8984069824;
1199,4992675781;-138,8984069824;
1202,2642822266;-138,8984069824;
1205,0361328125;-138,8984069824;
1207,8138427734;-138,8899230957;
1210,5980224609;-138,8899230957;
1213,3891601563;-138,8899230957;
1216,1861572266;-138,8899230957;
1218,9895019531;-138,8899230957;
1221,7993164063;-138,8899230957;
1224,6163330078;-138,8899230957;
1227,4392089844;-138,8899230957;
1230,2685546875;-138,8899230957;
1233,1051025391;-138,8840484619;
1235,9475097656;-138,8619232178;
1238,7963867188;-138,8380432129;
1241,6525878906;-138,8323364258;
1244,5146484375;-138,8107757568;
1247,3834228516;-138,7942352295;
1250,2586669922;-138,7900543213;
1253,1413574219;-138,7900543213;
1256,0299072266;-138,7900543213;
1258,9251708984;-138,7900543213;
1261,8277587891;-138,7900543213;
1264,7363281250;-138,7900543213;
1267,6516113281;-138,8107757568;
1270,5743408203;-138,8323364258;
1273,5031738281;-138,8380432129;
1276,4385986328;-138,8619232178;
1279,3815917969;-138,9172515869;
1282,3306884766;-138,9916992188;
1285,2866210938;-139,0202331543;
1288,2492675781;-139,0202636719;
1291,2194824219;-139,1023559570;
1294,1958007813;-139,1273803711;
1297,1790771484;-139,1692199707;
1300,1697998047;-139,2121887207;
1303,1667480469;-139,2290344238;
1306,1706542969;-139,3316040039;
1309,1822509766;-139,3354644775;
1312,1999511719;-139,3367156982;
1315,2247314453;-139,3488769531;
1318,2563476563;-139,3617248535;
1321,2957763672;-139,3617248535;
1324,3414306641;-139,3813171387;
1327,3941650391;-139,3900146484;
1330,4545898438;-139,3939666748;
1333,5214843750;-139,4296722412;
1336,5953369141;-139,4516754150;
1339,6770019531;-139,4621734619;
1342,7650146484;-139,4801635742;
1345,8602294922;-139,6508483887;
1348,9632568359;-139,6694030762;
1352,0727539063;-139,6694030762;
1355,1893310547;-139,6694030762;
1358,3131103516;-139,6694030762;
1361,4448242188;-139,6694030762;
1364,5831298828;-139,6694030762;
1367,7285156250;-139,4801635742;
1370,8820800781;-139,4621734619;
1374,0419921875;-139,4581298828;
1377,2092285156;-139,4581298828;
1380,3846435547;-139,4593353271;
1383,5665283203;-139,4621734619;
1386,7557373047;-139,5374298096;
1389,9522705078;-139,5374298096;
1393,1569824219;-139,5374298096;
1396,3682861328;-139,5374298096;
1399,5870361328;-139,5374298096;
1402,8139648438;-139,5374298096;
1406,0474853516;-139,4910125732;
1409,2885742188;-139,4910125732;
1412,5378417969;-139,4910125732;
1415,7938232422;-139,4910125732;
1419,0573730469;-139,4910125732;
1422,3292236328;-139,4910125732;
1425,6077880859;-139,4910125732;
1428,8939208984;-139,5374298096;
1432,1876220703;-139,5684509277;
1435,4896240234;-139,5738067627;
1438,7985839844;-139,5738067627;
1442,1151123047;-139,5738067627;
1445,4400634766;-139,5738067627;
1448,7718505859;-139,5684509277;
1452,1114501953;-139,5374298096;
1455,4594726563;-139,4910125732;
1458,8143310547;-139,4910125732;
1462,1770019531;-139,4910125732;
1465,5474853516;-139,5374298096;
1468,9265136719;-139,5684509277;
1472,3125000000;-139,5689697266;
1475,7061767578;-139,5738067627;
1479,1086425781;-139,6671447754;
1482,5180664063;-139,7114715576;
1485,9354248047;-139,7114715576;
1489,3614501953;-139,7114715576;
1492,7945556641;-139,7114715576;
1496,2354736328;-139,7114715576;
1499,6853027344;-139,7114715576;
1503,1420898438;-139,7114715576;
1506,6069335938;-139,7114715576;
1510,0798339844;-139,7114715576;
1513,5615234375;-139,7114715576;
1517,0502929688;-139,7114715576;
1520,5472412109;-139,7114715576;
1524,0531005859;-139,7114715576;
1527,5661621094;-139,6713562012;
1531,0872802734;-139,6713562012;
1534,6173095703;-139,6713562012;
1538,1547851563;-139,6713562012;
1541,7003173828;-139,6713562012;
1545,2540283203;-139,6713562012;
1548,8167724609;-139,6713562012;
1552,3869628906;-139,6713562012;
1555,9653320313;-139,6713562012;
1559,5527343750;-139,6713562012;
1563,1477050781;-139,6713562012;
1566,7508544922;-139,7816162109;
1570,3631591797;-139,8406066895;
1573,9829101563;-139,8802642822;
1577,6110839844;-139,8802642822;
1581,2475585938;-139,8806762695;
1584,8933105469;-139,9406280518;
1588,5466308594;-139,9406280518;
1592,2083740234;-139,9406280518;
1595,8793945313;-139,9406280518;
1599,5579833984;-139,9406280518;
1603,2451171875;-139,9406280518;
1606,9415283203;-139,9406280518;
1610,6457519531;-139,9406280518;
1614,3583984375;-139,9406280518;
1618,0804443359;-139,9406280518;
1621,8101806641;-139,9406280518;
