sep=;
Type;FSWP-50;
Version;3.00SP1;
Date;13.Sep 2023;
VSupply;OFF;
Mode;Voltage;
354,8133544922;-123,6623992920;
355,6314086914;-123,7042617798;
356,4511718750;-123,7370834351;
357,2728271484;-123,7609939575;
358,0963439941;-123,7849044800;
358,9219970703;-123,8088226318;
359,7493286133;-123,8611831665;
360,5785827637;-123,9586791992;
361,4099426270;-124,0562057495;
362,2430114746;-124,1537017822;
363,0780029297;-124,2357635498;
363,9151306152;-124,2832717896;
364,7539672852;-124,3307647705;
365,5947570801;-124,3782653809;
366,4374694824;-124,4200210571;
367,2823486328;-124,4461441040;
368,1289672852;-124,4722671509;
368,9775390625;-124,4983825684;
369,8282470703;-124,5266265869;
370,6807250977;-124,5607223511;
371,5351867676;-124,5948104858;
372,3917846680;-124,6289062500;
373,2501831055;-124,6600418091;
374,1105346680;-124,6842956543;
374,9729003906;-124,7085494995;
375,8374328613;-124,7328109741;
376,7037658691;-124,7577209473;
377,5721130371;-124,7837524414;
378,4426574707;-124,8097915649;
379,3149719238;-124,8358230591;
380,1893310547;-124,9425888062;
381,0658874512;-125,1388320923;
381,9442749023;-125,3350372314;
382,8247070313;-125,5312423706;
383,7073364258;-125,6333236694;
384,5918273926;-125,6762084961;
385,4783325195;-125,7190856934;
386,3668823242;-125,7619705200;
387,2576904297;-125,7868347168;
388,1503601074;-125,8068313599;
389,0450744629;-125,8268280029;
389,9420471191;-125,8468246460;
390,8409118652;-125,8668212891;
391,7418212891;-125,8724136353;
392,6450195313;-125,8868179321;
393,5501098633;-125,8871994019;
394,4572753906;-125,9068222046;
395,3665161133;-125,9212951660;
396,2780761719;-125,9268188477;
397,1915283203;-125,9468154907;
398,1070861816;-125,9553985596;
399,0249633789;-125,9668121338;
399,9447631836;-125,9710693359;
400,8666381836;-125,9837265015;
401,7908935547;-125,9868164063;
402,7170410156;-125,9874191284;
403,6453552246;-125,9911117554;
404,5759887695;-125,9948120117;
405,5085754395;-126,0697097778;
406,4432983398;-126,1683502197;
407,3801879883;-126,3276519775;
408,3194580078;-126,5450286865;
409,2606506348;-126,7623519897;
410,2040100098;-126,9796752930;
411,1498107910;-127,1185455322;
412,0975341797;-127,2493286133;
413,0474548340;-127,3801193237;
413,9997863770;-127,4827804565;
414,9540710449;-127,5289764404;
415,9105834961;-127,5751724243;
416,8692626953;-127,6213607788;
417,8304138184;-127,6519470215;
418,7935485840;-127,6782989502;
419,7588806152;-127,7046585083;
420,7266845703;-127,7433624268;
421,6965026855;-127,8152847290;
422,6685485840;-127,8872070313;
423,6430664063;-127,9591522217;
424,6195983887;-128,0817260742;
425,5983581543;-128,2183837891;
426,5796203613;-128,3526611328;
427,5629272461;-128,3526611328;
428,5484924316;-128,3526611328;
429,5363159180;-128,3526611328;
430,5266723633;-128,3526611328;
431,5190734863;-128,3526611328;
432,5137634277;-128,3526611328;
433,5109558105;-128,3526611328;
434,5102233887;-128,3526611328;
435,5118103027;-128,3526611328;
436,5159301758;-128,3526611328;
437,5221252441;-128,3526611328;
438,5306701660;-128,3526611328;
439,5415039063;-128,3550720215;
440,5549316406;-128,4810180664;
441,5704345703;-128,5021820068;
442,5882873535;-128,5951080322;
443,6087341309;-128,6712951660;
444,6312561035;-128,8076171875;
445,6561889648;-128,8374938965;
446,6836853027;-128,8404235840;
447,7133178711;-129,0095825195;
448,7453308105;-129,0582733154;
449,7799682617;-129,0582733154;
450,8167419434;-129,0582733154;
451,8559265137;-129,0582733154;
452,8974609375;-129,0582733154;
453,9416809082;-129,0582733154;
454,9880371094;-129,0582733154;
456,0368347168;-129,0582733154;
457,0882873535;-129,0582733154;
458,1419067383;-129,0582733154;
459,1979370117;-129,2337493896;
460,2566833496;-129,6600036621;
461,3175964355;-130,1055450439;
462,3809814453;-130,6581115723;
