Trace
Log Plot
A.29.04,N9000B
38.6070543215381,-66.6501565617334
39.6582305640414,-65.8724321029242
40.7380277804113,-65.0010664557988
41.8472252501938,-68.3052333059398
42.9866234708228,-68.7819600223692
44.1570447353312,-67.171902050613
45.3593337257927,-68.4135695369407
46.5943581229204,-68.7024495061834
47.8630092322638,-68.0540660961231
49.1662026274564,-65.2721846488401
50.5048788109759,-65.1146656677275
51.8800038928961,-63.7324235000782
53.29257028812,-68.6342827887309
54.7435974325959,-71.7556226449841
56.2341325190349,-73.5480160503062
57.76525125266,-75.1074505363604
59.3380586275328,-77.9495333114347
60.9536897240169,-79.424186670578
62.6133105279552,-80.1440069809476
64.3181187721509,-78.2577438245702
66.0693448007596,-79.7496415147961
67.8682524572179,-81.3239513391891
69.7161399963467,-80.0439919987581
71.6143410212902,-80.4558471281318
73.5642254459641,-80.7611368043212
75.5672004837103,-79.3973656420123
77.6247116628692,-82.6976449280522
79.738243870004,-84.468929229615
81.9093224215297,-81.2898435403932
84.1395141645195,-79.8109445125206
86.4304286074836,-81.1987797081907
88.7837190819365,-81.3062608392349
91.201083935591,-80.3605557340628
93.6842677580396,-79.2347505252215
96.2350626398088,-80.5207062550002
98.8553094656938,-76.0778268905749
101.546899243308,-72.9544324383678
104.311774467805,-75.6194063566278
107.151930523761,-77.5826471327129
110.069417125221,-77.2873966237468
113.066339794964,-76.1835511942815
116.144861384034,-78.6819839271295
119.307203632653,-77.8960637386166
122.555648773628,-76.5906895526266
125.892541179417,-74.7817425073305
129.320289054041,-79.3538802998894
132.841366171065,-81.0388162177397
136.458313658892,-77.181579452566
140.173741834677,-84.2413293646742
143.990332088163,-80.4215746555438
147.910838816821,-79.5302904861341
151.938091413666,-77.4229957865515
156.074996309211,-77.0385818378617
160.324539069004,-79.289125400524
164.689786548287,-81.2478743210988
169.173889105314,-80.7785623974634
173.780082874938,-80.1467770694505
178.511692104095,-78.2589878631049
183.372131550888,-78.6528337675084
188.36490894898,-80.1465164308379
193.493627539095,-83.0516806297582
198.761988669444,-78.1663516724966
204.173794466953,-84.4542091960077
209.73295058122,-84.8811527069996
215.443469003188,-81.0816480068483
221.309470960564,-82.6502779780644
227.335189892063,-85.6870690692204
233.524974502649,-87.7172163900406
239.883291901949,-85.3281842423364
246.414730828128,-88.4930489334279
253.124004959536,-84.8549016291459
260.015956316527,-87.1679820562372
267.095558755899,-85.2474122283126
274.367921560478,-67.9475649670813
281.838293126445,-85.7620859269106
289.51206475105,-87.1305314045309
297.394774523461,-85.3310948624362
305.492111321551,-81.8297014462925
313.809918917513,-87.0581838692746
322.354200195246,-86.1610257533223
331.131121482591,-87.5656104361744
340.147017001504,-87.2178555466606
349.408393439407,-88.2590267629421
358.921934645005,-89.6995854405019
368.694506451957,-90.6805758099228
378.733161633883,-90.6681611014639
389.045144994281,-90.5325920481375
399.637898595041,-90.0428981862114
410.519067127308,-86.2291413216296
421.696503428582,-91.4522784184571
433.178274150041,-93.6152362293515
444.972665578166,-88.8215486084036
457.088189614875,-92.3206272277248
469.533589920485,-90.4543129635516
482.317848223931,-89.3629191453916
495.45019080479,-82.0024368277652
508.940095151809,-85.32884733318
522.797296802712,-89.9110778880742
537.031796370253,-89.7960524638555
551.653866759558,-90.0737368755704
566.674060581991,-93.3277964160496
582.103217770872,-91.7248317089019
597.952473404552,-90.572588327297
614.233265742502,-91.6112836160146
630.957344480193,-93.4874888862669
648.136779228742,-94.2321831227997
665.783968225436,-95.6245433945674
683.91164728143,-87.4823057320322
702.532898973052,-94.6460325816126
721.661162083388,-91.4485759783521
741.310241300917,-92.8236914589439
761.49431718223,-96.3963250416299
782.227956386003,-95.5394158971985
803.526122185617,-95.3201665475765
825.404185268019,-89.1571468789475
847.877934826592,-96.9214135549447
870.96358995608,-93.8117852460339
894.677811357749,-93.7486000267047
919.03771336326,-95.0901229210996
944.060876285923,-90.1233426289134
969.76535910825,-96.4678393449771
996.169712514941,-92.5195376585668
1023.29299228075,-95.6097710812439
1051.15477302287,-95.8215342461329
1079.77516232771,-94.9254529540208
1109.1748152624,-95.9190783199775
1139.37494928134,-96.212438729992
1170.39735953862,-94.7027010840089
1202.26443461741,-94.8236435337985
1234.99917268758,-88.6279381682035
1268.62519810326,-94.2981135292461
1303.1667784523,-94.8400365034562
1338.64884206999,-96.2740213635921
1375.0969960296,-95.4423716396092
1412.53754462275,-97.775813818356
1450.99750834299,-93.0523380629937
1490.5046433862,-92.2396089675447
1531.08746168203,-91.5239912508583
1572.77525147067,-91.655911615834
1615.59809843987,-92.1179461120705
1659.58690743756,-90.6977127565036
1704.77342477552,-90.9512096817612
1751.19026114046,-85.4899250833438
1798.87091512879,-89.2625273361297
1847.84979742229,-93.2776653546806
1898.16225562196,-93.6577146187742
1949.84459975804,-93.877929156265
2002.93412849465,-93.4394265411784
2057.46915604784,-89.3356099430993
2113.48903983665,-94.5907033787999
2171.03420888696,-95.7553747455614
2230.14619300874,-94.8988336687532
2290.86765276777,-94.3735886348117
2353.2424102733,-91.9254321208439
2417.3154808041,-94.2878058335185
2483.13310529557,-96.2131179104796
2550.74278371136,-95.0207713855244
2620.19330932367,-91.7016401694743
2691.53480392692,-93.4887320309378
2764.81875401011,-96.0304307698829
2840.09804791422,-98.2329852908675
2917.42701400117,-97.3799428145631
2996.86145986212,-96.7608031309376
3078.4587125933,-94.6708778372049
3162.27766016838,-93.1117244032515
3248.37879393743,-94.6178882930386
3336.82425228294,-95.4467677327129
3427.6778654645,-95.2247765616156
3521.00520168452,-96.3484727951749
3616.87361440816,-98.8140058794097
3715.35229097173,-96.2933566218342
3816.51230251451,-95.4464599182675
3920.42665527015,-96.7049750494301
4027.17034325459,-96.5607831024446
4136.82040238851,-95.7352307808038
4249.45596609344,-97.3735932105507
4365.15832240166,-98.0201391007457
4484.01097262092,-96.6064679939682
4606.09969159666,-97.0399394032466
4731.51258961481,-97.5560516746614
4860.34017599021,-97.1342030187716
4992.67542438638,-95.5144561426683
5128.61383991365,-97.5059027431575
5268.25352805435,-98.0717776235561
5411.69526546464,-95.4704039811265
5559.04257270404,-95.3096160951457
5710.40178894527,-97.4065160669301
5865.88214871824,-95.6453007844415
6025.59586074358,-97.6901386536853
6189.6581889126,-96.0868608112423
6358.18753547223,-95.8002436175089
6531.30552647473,-96.8616366029675
6709.13709955411,-96.3803621953745
6891.8105940925,-96.6197672096197
7079.45784384138,-96.2695684542318
7272.21427206485,-94.5498797153315
7470.21898927332,-96.2630139218093
7673.6148936182,-95.1214101547947
7882.54877402021,-94.9142724279461
8097.17141610562,-94.5403698353945
8317.63771102672,-96.3831882652927
8544.10676724535,-94.859166594581
8776.74202536006,-94.622199531267
9015.71137605956,-94.5445517466304
9261.18728128793,-95.1819529932695
9513.34689870874,-95.9237285424273
9772.3722095581,-94.7275371452124
10038.4501499788,-94.3123369602507
10311.7727459306,-94.5636164895659
10592.5372517729,-94.3273438272829
10880.9462926223,-96.4661060962626
11177.2080105845,-93.1297866863677
11481.5362149688,-93.8324270034863
11794.1505365925,-94.6191018721288
12115.2765862859,-95.496139422757
12445.1461177138,-93.8399331537178
12783.9971946302,-94.6976505951274
13132.0743626862,-94.4997642298369
13489.6288259165,-96.1798535136955
13856.9186280313,-92.9177272383524
14234.2088386434,-93.884981827004
14621.7717445672,-93.7881423555877
15019.8870463249,-94.4045425957987
15428.8420600041,-93.1730215926078
15848.9319246111,-92.655997935558
16280.45981507,-93.679287046012
16723.7371610208,-93.0593197111894
17179.0838715759,-90.673765638474
17646.828566195,-93.3627229992115
18127.308811847,-93.3483257465181
18620.8713666287,-93.0416792400104
19127.872430017,-93.5467128189754
19648.6778999347,-93.6275634756976
20183.6636368156,-93.2651342545964
20733.2157348596,-92.5510308040307
21297.7308006728,-93.6900132891316
21877.6162394955,-94.0075644851831
22473.2905492222,-93.7313151371911
23085.1836224276,-92.6598402161867
23713.7370566166,-92.5962434311408
