Trace
Log Plot
A.25.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,30000000
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,1
Stop Offset,10000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Raw,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
1,-75.8608469151826
1.0272275691833,-76.6194199288285
1.05519647889024,-79.6214635161428
1.0839269140212,-80.8938990554554
1.11343960906236,-82.0316326285174
1.14375586304954,-80.9839428909808
1.17489755493953,-82.3320100106782
1.20688715939994,-87.3858618367636
1.23974776302894,-86.7606025983969
1.27350308101666,-85.8089258859465
1.30817747426019,-78.5152248730496
1.34379596694465,-80.0062994904605
1.38038426460288,-82.2876069724137
1.4179687726669,-83.4119704533647
1.45657661552446,-82.7431182606892
1.49623565609443,-84.4271013352683
1.53697451593527,-84.2796539728119
1.57882259590087,-83.8335385454089
1.62181009735893,-83.4755019731238
1.66596804398695,-82.4461384782271
1.71132830416178,-85.5643868626147
1.75792361395869,-87.978317528585
1.80578760077672,-86.233924224519
1.85495480760722,-82.9158903551551
1.90546071796325,-87.5715058486093
1.95734178148766,-86.2348313423148
2.01063544025849,-78.6432873292044
2.06538015581053,-87.8282642695385
2.12161543689268,-85.3724359981963
2.17938186798105,-82.557612321948
2.23872113856834,-84.3529012298369
2.29967607325084,-85.0570533345807
2.36229066263446,-85.3643582601742
2.42661009508242,-83.8318136239515
2.49268078932718,-83.3198879123932
2.56055042797048,-87.4264082145027
2.63026799189538,-84.270081712576
2.70188379561534,-87.4063270593701
2.77544952358571,-84.7645615184855
2.85101826750391,-86.5656883468478
2.92864456462524,-83.6685658532412
3.00838443712188,-81.7333811549565
3.09029543251359,-87.5301012462467
3.1744366651992,-88.945266774116
3.26086885911893,-87.1900706614454
3.34965439157828,-83.6448785693629
3.44085733826513,-84.8061446435753
3.53454351949263,-83.9764062227925
3.63078054770101,-85.988384187721
3.72963787625294,-85.1379570897885
3.83118684955729,-88.9408375935496
3.93550075455778,-84.4205086680175
4.04265487362344,-87.4883301819736
4.15272653887925,-87.2082687806065
4.26579518801593,-86.7174338737627
4.38194242161944,-87.332096225045
4.50125206206134,-86.2520579570955
4.6238102139926,-84.9733440574545
4.74970532648456,-87.536227047551
4.87902825686172,-87.388161124083
5.01187233627272,-86.6073306185021
5.14833343704648,-88.7379673724691
5.28851004188238,-90.5742111397085
5.43250331492433,-90.1274869260152
5.58041717476997,-86.31688981915
5.73235836946771,-86.9370397910172
5.88843655355589,-86.7657256437726
6.04876436719933,-85.4679507107755
6.21345751748076,-89.8430980650206
6.38263486190549,-90.1776079567327
6.55641849417979,-90.0384459179886
6.73493383232477,-90.5140348063671
6.91830970918936,-93.6987213740501
7.10667846542785,-91.860054867788
7.30017604500878,-89.7507209562938
7.49894209332456,-86.9866357739108
7.70312005797215,-89.6380274975456
7.91285729227788,-90.6872883532115
8.12830516164099,-90.1158836816138
8.34961915277258,-89.8857972923196
8.57695898590894,-89.8382473419945
8.81048873008014,-87.825822889878
9.05037692151712,-82.7673045978248
9.29679668528271,-81.0379399915613
9.54992586021436,-75.9069164146628
9.80994712726877,-87.9251099304948
10.077048141361,-87.8756172204305
10.3514216667934,-88.9714805172156
10.6332657163716,-86.2496273884272
10.9227836943086,-87.3304974765607
11.2201845430196,-88.8664945418203
11.5256828939141,-87.9644031451798
11.839499222293,-87.152708984324
12.1618600064637,-92.0919797514567
12.4929978911873,-91.8925622819523
12.8331518555765,-89.5753632841654
13.1825673855641,-91.6130476361622
13.5414966510681,-91.6385136021845
13.9101986879805,-93.4132069010393
14.288939585111,-94.0279935192852
14.6779926762207,-91.0873314287659
15.0776387372845,-90.0795438320098
15.4881661891248,-91.0556675004062
15.9098713055617,-89.854240166863
16.3430584272314,-89.5463463582607
16.7880401812256,-93.689024671092
17.245137706712,-94.1351926986402
17.7146808866971,-93.8023402596765
18.1970085860998,-87.2053550038008
18.6924688963071,-82.8406362188203
19.201419386388,-87.4891067446199
19.7242273611485,-91.0700585302853
20.2612701262114,-93.253835104352
20.8129352603145,-92.2217318465927
21.3796208950223,-96.1440083270677
21.9617360020544,-92.7981679777934
22.5597006884358,-91.8280156250749
23.1739464996848,-92.3758543565214
23.8049167312551,-95.2333621072465
24.4530667484582,-92.279355395466
25.1188643150958,-90.9446509692778
25.8027899310411,-92.9677633131726
26.5053371790108,-96.2483738391601
27.2270130807791,-89.2934918277644
27.9683384630908,-89.2868801290939
28.7298483335367,-92.720637463195
29.5120922666639,-91.9064688054248
30.3156348005985,-96.4611336313928
31.1410558444676,-92.9009687518627
31.988951096914,-93.9412364083615
32.8599324760065,-95.7134816385303
33.7546285608557,-96.1172336234209
34.6736850452532,-99.1237441769607
35.6177652036629,-94.842751253974
36.5875503699003,-96.3597832504353
37.5837404288444,-96.6736317191187
38.6070543215381,-96.1079531420472
39.6582305640414,-96.8341004654317
40.7380277804113,-96.9417392066717
41.8472252501938,-96.8546566471696
42.9866234708228,-98.1607498088405
44.1570447353312,-96.830924013613
45.3593337257927,-94.5580871459196
46.5943581229204,-96.242447375856
47.8630092322638,-97.2991652422917
49.1662026274564,-97.208660619704
50.5048788109759,-92.3191215357351
51.8800038928961,-97.2201302841368
53.29257028812,-97.1118180219132
54.7435974325959,-97.3936462226424
56.2341325190349,-100.012428946839
57.76525125266,-98.4466984253474
59.3380586275328,-98.4151655488143
60.9536897240169,-93.8831162026603
62.6133105279552,-101.837545217467
64.3181187721509,-98.7864164737544
66.0693448007596,-97.5010309253942
67.8682524572179,-98.7962758781883
69.7161399963467,-104.115138330282
71.6143410212902,-104.809640944927
73.5642254459641,-102.147377371174
75.5672004837103,-96.1149913146198
77.6247116628692,-101.793431975876
79.738243870004,-98.400319902664
81.9093224215297,-99.9127809575599
84.1395141645195,-104.798949163862
86.4304286074836,-104.420691068504
88.7837190819365,-100.529981406777
91.201083935591,-101.384131394796
93.6842677580396,-97.6603524619466
96.2350626398088,-97.7429121678354
98.8553094656939,-98.5070817720419
101.546899243308,-99.4425796550275
104.311774467805,-103.937495801123
107.151930523761,-105.585836521049
110.069417125221,-104.412933825069
113.066339794964,-102.097665576471
116.144861384034,-102.398706448502
119.307203632653,-101.927284812987
122.555648773628,-103.910908496947
125.892541179417,-104.253766952258
129.320289054041,-102.039833276793
132.841366171065,-103.408938266393
136.458313658892,-102.840935236301
140.173741834677,-105.716041986886
143.990332088163,-101.66404920398
147.910838816821,-100.93852835423
151.938091413666,-98.7860936964595
156.074996309211,-101.367909411684
160.324539069004,-102.452385771349
164.689786548287,-100.439890387585
169.173889105314,-104.187460901955
173.780082874938,-101.749799853591
178.511692104095,-105.737771368363
183.372131550888,-102.206695431438
188.36490894898,-103.179114998885
193.493627539095,-102.472075448172
198.761988669444,-106.355365824775
204.173794466953,-104.67055564713
209.73295058122,-106.032131115345
215.443469003188,-104.543553623772
221.309470960564,-104.47665152933
227.335189892063,-101.71759847624
233.524974502649,-105.836001523931
239.883291901949,-106.509418561467
246.414730828128,-102.462587908391
253.124004959536,-101.747393129077
260.015956316527,-107.609830089698
267.095558755899,-106.031945038892
274.367921560478,-105.449432250309
281.838293126445,-107.195886164683
289.51206475105,-109.207353745823
297.394774523461,-104.159481495446
305.492111321551,-108.027860803714
313.809918917513,-107.295579972432
322.354200195246,-109.465283415055
331.131121482591,-108.550347066506
340.147017001504,-109.286314217325
349.408393439407,-105.887230688261
358.921934645005,-106.864391862509
368.694506451957,-108.105205449287
378.733161633883,-107.835596954481
389.045144994281,-106.565523426148
