Trace
Log Plot
A.25.05,N9000A
399.637898595041,-109.303971198503
410.519067127308,-108.505413124553
421.696503428582,-108.141676294007
433.178274150041,-106.513635412615
444.972665578166,-106.285292136426
457.088189614875,-107.270266531567
469.533589920485,-108.186189092723
482.317848223931,-110.266595912067
495.45019080479,-109.440323726831
508.940095151809,-109.960513924754
522.797296802712,-108.968583373477
537.031796370253,-111.690085888454
551.653866759558,-107.934383867967
566.674060581991,-108.001029684961
582.103217770872,-107.452655945095
597.952473404552,-108.372094974023
614.233265742502,-110.520051456262
630.957344480193,-110.131778538868
648.136779228742,-104.711868991555
665.783968225436,-110.776221017141
683.91164728143,-110.312952871369
702.532898973052,-108.856176969257
721.661162083388,-111.969166149535
741.310241300917,-108.971774517696
761.49431718223,-109.010207080873
782.227956386003,-107.68282767344
803.526122185617,-108.904466988307
825.404185268019,-109.70180623305
847.877934826592,-106.7031701007
870.96358995608,-109.686832241221
894.677811357749,-109.897454203798
919.03771336326,-112.337123359716
944.060876285923,-109.014314674576
969.76535910825,-108.142672216953
996.169712514941,-109.24473478706
1023.29299228075,-110.111126563469
1051.15477302287,-108.901217236526
1079.77516232771,-111.083799163579
1109.1748152624,-109.499099554441
1139.37494928134,-109.955470585008
1170.39735953862,-109.803730141893
1202.26443461741,-109.318776496821
1234.99917268758,-110.288194436729
1268.62519810326,-110.433756572532
1303.1667784523,-108.675329252606
1338.64884206999,-110.325799899353
1375.0969960296,-108.45657322261
1412.53754462275,-114.210934682448
1450.99750834299,-116.578102776555
1490.5046433862,-109.299514761449
1531.08746168203,-109.286241836193
1572.77525147067,-112.902018746047
1615.59809843987,-110.502043599738
1659.58690743756,-111.5575385814
1704.77342477552,-108.074771886447
1751.19026114046,-105.63571236651
1798.87091512879,-114.828009743062
1847.84979742229,-110.960313183244
1898.16225562196,-108.226859304364
1949.84459975804,-112.647651854962
2002.93412849465,-111.770978526001
2057.46915604784,-111.582460221757
2113.48903983665,-107.305902538016
2171.03420888696,-107.043726235164
2230.14619300874,-107.268391456553
2290.86765276777,-110.010205438616
2353.2424102733,-104.041238536378
2417.3154808041,-104.020152952477
2483.13310529557,-108.589345659019
2550.74278371136,-105.540705339441
2620.19330932367,-108.13798391607
2691.53480392692,-109.830846165282
2764.81875401011,-114.789641788247
2840.09804791422,-109.294420373939
2917.42701400117,-107.657958430504
2996.86145986212,-108.662577531136
3078.4587125933,-108.257161867137
3162.27766016838,-110.570739272303
3248.37879393743,-107.637912623119
3336.82425228294,-106.750483521649
3427.6778654645,-106.552662137509
3521.00520168452,-112.386617513609
3616.87361440816,-106.058900467706
3715.35229097173,-106.418890314738
3816.51230251451,-106.466116369551
3920.42665527015,-106.529761584616
4027.17034325459,-107.774330105189
4136.82040238851,-110.095883062772
4249.45596609344,-110.412646126551
4365.15832240166,-107.386791218104
4484.01097262092,-110.971233273508
4606.09969159666,-106.562917448614
4731.51258961481,-108.166785568088
4860.34017599021,-107.591076917618
4992.67542438638,-107.294587222494
5128.61383991365,-106.430596778757
5268.25352805435,-108.291649473579
5411.69526546464,-107.42226408522
5559.04257270404,-111.35525212664
5710.40178894527,-110.661614297695
5865.88214871824,-108.777297142355
6025.59586074358,-107.991957991334
6189.6581889126,-105.489337886123
6358.18753547223,-105.256031158579
6531.30552647473,-107.762328878402
6709.13709955411,-107.977746757795
6891.8105940925,-108.407791788186
7079.45784384138,-109.303787815047
7272.21427206485,-107.026518361979
7470.21898927332,-109.191015104375
7673.6148936182,-109.515140904502
7882.54877402021,-106.985081480099
8097.17141610562,-108.810026094906
8317.63771102672,-109.879366927534
8544.10676724535,-106.466049470076
8776.74202536006,-109.353000903524
9015.71137605956,-108.904019198583
9261.18728128793,-106.788932463281
9513.34689870874,-108.847982585816
9772.3722095581,-106.364719689038
10038.4501499788,-110.010369343477
10311.7727459306,-104.740278702214
10592.5372517729,-109.935121248768
10880.9462926223,-106.170441199217
11177.2080105845,-109.350801950543
11481.5362149688,-108.514352409289
11794.1505365925,-111.089983318167
12115.2765862859,-110.694573689903
12445.1461177138,-109.492034165904
12783.9971946302,-102.141805946305
13132.0743626862,-109.968099560605
13489.6288259165,-108.057084355371
13856.9186280313,-106.135664906104
14234.2088386434,-108.013238670101
14621.7717445672,-109.144610995739
15019.8870463249,-108.402476881095
15428.8420600041,-108.881791496401
15848.9319246111,-109.348943496798
16280.45981507,-110.06846654844
16723.7371610208,-108.537255521263
17179.0838715759,-104.895048114773
17646.828566195,-110.075779415282
18127.308811847,-108.100487149235
18620.8713666287,-107.91093032927
19127.872430017,-108.068622136252
19648.6778999347,-108.655534276399
20183.6636368156,-109.391237061849
20733.2157348596,-108.132146709825
21297.7308006728,-107.291573775323
21877.6162394955,-109.248781160119
22473.2905492222,-108.720999891127
23085.1836224276,-109.265011287465
23713.7370566166,-108.192601603054
24359.4044729203,-108.998725285977
25022.6518434708,-109.785758095653
25703.9578276886,-95.8749544392197
26403.8141177268,-108.000670435815
27122.7257933203,-109.118881374778
27861.2116862977,-109.319471470205
28619.8047550171,-107.509167910285
29399.0524689969,-107.169815039762
30199.5172040202,-108.495494046643
31021.776647995,-111.257498360766
31866.4242178673,-110.429937034962
32734.0694878838,-109.248481049493
33625.3386295162,-104.774797540048
34540.8748633635,-105.849815696677
35481.3389233576,-110.276140554495
36447.4095336095,-109.45572108348
37439.7838982381,-108.569986791969
38459.1782045354,-103.624338604275
39506.3281398323,-103.467492164909
40581.989422438,-107.111561183184
41686.9383470336,-111.012780698557
42821.9723449175,-108.243549850348
43987.9105595043,-106.410300535451
45185.5944374923,-107.456538632304
46415.8883361278,-108.753132849331
47679.6801470042,-111.910955360454
48977.8819368446,-111.311353189226
50311.4306057317,-104.068496256997
51681.2885632604,-93.9863960999917
53088.4444230989,-106.36069553161
54533.9137164627,-108.058703613486
56018.7396250141,-107.462477440417
57543.9937337157,-110.088778650313
59110.776804184,-108.426268645634
60720.2195690989,-105.914763211934
62373.483548242,-106.415217169382
64071.7618867554,-102.970140389185
65816.2802162232,-105.551421126242
67608.2975391981,-107.425702497195
69449.1071378121,-109.328873847543
71340.0375071256,-105.516861819642
73282.4533138904,-107.155205940311
75277.7563814166,-105.289797338305
77327.3867012556,-107.310668459234
79432.8234724281,-107.901092528009
81595.5861689489,-106.938648561536
83817.2356364163,-108.814643070005
86099.37521846,-107.075918502695
88443.65191386,-108.232339522231
90851.7575651687,-105.399520878763
93325.4300796991,-107.453018432892
95866.4546837558,-108.261084885534
98476.6652110159,-103.978393531303
101157.94542599,-107.544547117513
103912.230383517,-104.264435946877
106741.507825276,-104.923267029357
109647.819614318,-104.526801832272
112633.263208666,-103.846987319661
115699.993175021,-107.875754150457
118850.222743702,-107.611619401824
122086.225405907,-102.690975613103
125410.336554475,-105.106207057901
128824.955169313,-104.826342904015
132332.545548722,-103.658883545243
135935.639087852,-103.364253667729
139636.836105594,-104.555590140576
143438.807721197,-104.680206876278
147344.297781996,-102.876800736717
151356.124843621,-103.044017655061
155477.184204117,-103.441506443654
159710.44999346,-101.908962817297
164058.977319954,-102.733510796555
168525.904475075,-98.3387544740286
173114.455198349,-102.564904324046
177827.941003892,-100.132157227413
182669.7635703,-101.179926725602
187643.417195608,-97.7832086439156
192752.491319094,-99.4119582990586
198000.673111739,-100.691230952999
203391.750137229,-98.3272370337475
208929.613085404,-99.6100911019983
214618.258580128,-96.9048588624139
220461.792063618,-97.4059006517273
226464.430759306,-101.697741877828
232630.506715363,-97.7893616173149
238964.469931102,-97.4607299787229
245470.891568503,-97.0276948731243
252154.467251172,-94.9118250877176
259020.020453132,-95.6671216094572
266072.505979881,-95.115392871241
273317.013544223,-98.0756966502845
280758.771439473,-95.6643863595977
288403.150312661,-93.6659498142756
296255.667040481,-95.3631789549919
304321.988710772,-95.1553375604269
312607.936712396,-93.6878496433524
321119.490936482,-92.9827239995608
329862.794092063,-94.6511122082479
338844.156139203,-94.5609262193148
348070.058842841,-95.1625211911062
357547.160450621,-94.5430202273182
367282.300498085,-96.236025010348
377282.504744699,-92.8126787704204
387554.990244286,-93.4526599609654
398107.170553498,-94.263138569659
408946.661082112,-96.1904078205095
420081.284589007,-92.6702801867966
431519.076827766,-93.930724096704
443268.292346009,-94.7523338633098
455337.410442625,-94.6173683279981
467735.141287199,-96.0591501825058
480470.432206058,-95.6101021501277
493552.474139481,-92.1256166912107
506990.708274704,-92.0193611336818
520794.832859546,-93.8153459918573
534974.810201537,-93.0403670542499
549540.873857624,-93.5595274633314
564503.536019636,-93.5841092525377
579873.595100831,-94.8980937325314
595662.14352901,-91.0816928284319
611880.575751822,-92.1877599977766
628540.596460025,-93.3277898188532
645654.229034655,-93.8642827212138
663233.82422419,-91.3383301779363
681292.069057962,-93.4978123647329
699841.996002273,-93.7996144842556
718896.992365807,-93.253064266615
738470.809961117,-94.6034611315209
758577.575029183,-93.8333366421046
779231.798434194,-92.0109734572622
800448.386135892,-92.9878219566567
822242.649947071,-94.4959573942401
844630.318583969,-94.6138630543763
867627.549017531,-94.4454796268204
891250.938133745,-94.8914235534841
915517.534711467,-93.8894036530861
940444.851726353,-92.1860708021797
966050.878989813,-90.7525379132388
992354.096132101,-93.0433007823571
1019373.48593887,-97.2210726377732
1047128.5480509,-95.5587125800912
1075639.31303677,-93.3279414832675
1104926.35684876,-100.79549875175
1135010.81567232,-98.2487915062686
1165914.40117983,-94.5363934779969
1197659.41619977,-88.5782442391157
1230268.77081238,-89.6611448308981
1263765.99888374,-91.1352246114605
1298175.27504985,-91.6362432683504
1333521.43216332,-101.37089743133
1369829.97921497,-97.319276846513
1407127.11974341,-91.7908418482599
1445439.77074593,-90.2823733845283
1484795.58210421,-89.4766022524153
1525222.95653902,-91.2682193869668
1566751.07010815,-89.338679090252
1609409.89326254,-97.9260385211931
1653230.21247563,-96.2454046347251
1698243.65246174,-98.3223931025238
1744482.69899926,-95.5868014855799
1791980.72237533,-96.4652505396176
1840772.00146896,-91.0876870048761
1890891.74848964,-94.3288023581723
1942376.13438978,-101.125706968046
1995262.31496888,-103.97618561709
2049588.45768853,-100.569353861355
2105393.76921755,-99.6494077705479
2162718.52372702,-98.272948156698
2221604.09195581,-102.055668512269
2282092.97106745,-101.193015127528
2344228.81531992,-98.7687759357087
2408056.46757054,-98.0569336472747
2473621.99163862,-99.2748909672195
2540972.70554931,-100.211677859368
2610157.21568254,-97.5331315459385
2681225.45185183,-99.5490962082698
2754228.70333817,-101.333519886042
2829219.65590495,-105.68649418542
2906252.42982087,-104.037031313453
2985382.61891796,-100.252733893919
3066667.33071318,-101.678730868349
3150165.22762236,-105.126026130187
3235936.56929629,-99.4217645576249
3324043.25610958,-102.678955725692
3414548.8738336,-100.284810183975
3507518.73952568,-109.162007820359
3603019.94866785,-101.721875360973
3701121.42358903,-102.779486135306
3801893.96320561,-102.333491117977
3905410.29411638,-101.89166878619
4011745.12308862,-105.247108209765
4120975.1909733,-102.847231072815
4233179.32808821,-101.560414833228
4348438.51110907,-105.93582092812
4466835.92150963,-104.268636991095
4588457.005593,-104.957565559354
4713389.53615741,-106.552710995676
4841723.67584099,-106.811236463183
4973552.0421914,-96.1998110590549
5108969.77450693,-101.911874775478
5248074.60249772,-104.031058659237
5390966.91681638,-106.652866771098
5537749.8415089,-103.707603247203
5688529.30843841,-101.683207662885
5843414.13373518,-101.475002083171
6002516.09632815,-105.215077920606
6165950.01861482,-103.435299814935
6333833.84932745,-104.139849789247
6506288.74865558,-106.955217316193
6683439.17568614,-109.806916019343
6865412.97822455,-105.773509203586
7052341.48506112,-101.226544288001
7244359.6007499,-101.698379719719
7441605.90296806,-100.016138168298
7644222.742526,-102.506192652577
7852356.34610072,-103.870154058814
8066156.92176614,-102.983453935162
8285778.7673969,-102.170933415986
8511380.38202376,-99.4125665952969
8743124.58022074,-103.71352832448
8981178.60960694,-102.244017975549
9225714.27154763,-103.23868962027
9476908.0451416,-99.7453161562849
9734941.21458449,-102.834745459907
10000000,-99.1214699847394
