Trace
Log Plot
A.25.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,9999999.9212527
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,1
Stop Offset,10000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Raw,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
1,-82.4411739294326
1.0272275691833,-82.6046269811081
1.05519647889024,-83.7251348463954
1.0839269140212,-82.4260402668951
1.11343960906236,-83.6496133968288
1.14375586304954,-85.754117967003
1.17489755493953,-82.5329809161302
1.20688715939994,-88.0084808560731
1.23974776302894,-85.6346874726023
1.27350308101666,-86.4863457962391
1.30817747426019,-83.1392963487696
1.34379596694465,-79.8369784036933
1.38038426460288,-82.1736728572315
1.4179687726669,-86.0723408974063
1.45657661552446,-84.7842475962275
1.49623565609443,-84.1095455014591
1.53697451593527,-84.513182958678
1.57882259590087,-83.4436214476025
1.62181009735893,-82.6698143356987
1.66596804398695,-82.1724446718658
1.71132830416178,-83.4435445897207
1.75792361395869,-84.8615431989849
1.80578760077672,-85.9270481418876
1.85495480760722,-86.5788927867372
1.90546071796325,-81.9286906130903
1.95734178148766,-81.8731395295066
2.01063544025849,-82.8467673898955
2.06538015581053,-82.9698058244746
2.12161543689268,-84.3936027009172
2.17938186798105,-84.3788414424525
2.23872113856834,-83.6729542707436
2.29967607325084,-80.8962727658894
2.36229066263446,-84.1522118812979
2.42661009508242,-86.7825457257901
2.49268078932718,-87.377449321008
2.56055042797048,-86.5179708133274
2.63026799189538,-86.88585993118
2.70188379561534,-83.2222644829714
2.77544952358571,-84.1449277212866
2.85101826750391,-87.327529692033
2.92864456462524,-79.3916575988327
3.00838443712188,-78.5807704897159
3.09029543251359,-84.5564154028764
3.1744366651992,-86.3206277186695
3.26086885911893,-81.6923072274476
3.34965439157828,-83.9110066487349
3.44085733826513,-84.1163952727151
3.53454351949263,-85.3389739028032
3.63078054770101,-84.3208449499006
3.72963787625294,-85.2932969176062
3.83118684955729,-88.1248254966461
3.93550075455778,-84.4604985982935
4.04265487362344,-89.9984817403861
4.15272653887925,-87.7502194986862
4.26579518801593,-86.2989284684012
4.38194242161944,-87.818198341054
4.50125206206134,-87.9055628819582
4.6238102139926,-87.3548408177851
4.74970532648456,-89.4783363773882
4.87902825686172,-89.4181011147012
5.01187233627272,-85.2398935694692
5.14833343704648,-87.6340467308537
5.28851004188238,-90.853147043242
5.43250331492433,-90.4527256222731
5.58041717476997,-91.9914664430274
5.73235836946771,-94.1628504784583
5.88843655355589,-84.9947930442098
6.04876436719933,-86.7016213761554
6.21345751748076,-92.318066277377
6.38263486190549,-91.5164902739579
6.55641849417979,-89.0796450153724
6.73493383232477,-91.1732082954196
6.91830970918936,-93.2866824292417
7.10667846542785,-90.5642816032859
7.30017604500878,-88.3934579364111
7.49894209332456,-89.1958556610311
7.70312005797215,-94.3788422908278
7.91285729227788,-87.1535748435933
8.12830516164099,-89.1131292240664
8.34961915277258,-87.8774354485427
8.57695898590894,-94.8010412931905
8.81048873008014,-95.1585461702201
9.05037692151712,-89.1167648948284
9.29679668528271,-79.9047954551414
9.54992586021436,-77.9128526972245
9.80994712726877,-91.384678862909
10.077048141361,-89.2456411534469
10.3514216667934,-90.2732481576736
10.6332657163716,-88.8951630065988
10.9227836943086,-87.1198509799638
11.2201845430196,-92.2859116262888
11.5256828939141,-93.5407552055311
11.839499222293,-88.0586468411619
12.1618600064637,-90.8670836885973
12.4929978911873,-94.2997845081275
12.8331518555765,-91.0360971992654
13.1825673855641,-89.9575023558139
13.5414966510681,-93.7722983576627
13.9101986879805,-90.9480870848125
14.288939585111,-89.8954783666219
14.6779926762207,-91.7629740812473
15.0776387372845,-92.4085508691528
15.4881661891248,-90.5475791840388
15.9098713055617,-88.7719583768673
16.3430584272314,-92.6263069645022
16.7880401812256,-89.8628138729389
17.245137706712,-91.7237426906508
17.7146808866971,-92.7297062398368
18.1970085860998,-91.6365042191502
18.6924688963071,-83.4357982082725
19.201419386388,-88.6699817741379
19.7242273611485,-96.0076171235434
