Trace
Log Plot
A.25.05,N9000A
399.637898595041,-106.533229188387
410.519067127308,-109.50294996927
421.696503428582,-105.891077717563
433.178274150041,-105.447213683213
444.972665578166,-108.48214183513
457.088189614875,-108.808103322852
469.533589920485,-107.964235482754
482.317848223931,-106.771332768054
495.45019080479,-108.418461039033
508.940095151809,-109.425876172095
522.797296802712,-107.463518460726
537.031796370253,-106.377262325462
551.653866759558,-107.876211345366
566.674060581991,-105.825905892006
582.103217770872,-108.668808083262
597.952473404552,-106.769339937163
614.233265742502,-109.20087992077
630.957344480193,-107.643276627494
648.136779228742,-107.733302585619
665.783968225436,-107.883768338296
683.91164728143,-109.474255911943
702.532898973052,-106.719463209892
721.661162083388,-108.832727660347
741.310241300917,-108.728551585139
761.49431718223,-107.794669928842
782.227956386003,-107.882911079188
803.526122185617,-107.71146218459
825.404185268019,-109.560270761589
847.877934826592,-109.066720097995
870.96358995608,-108.883786964089
894.677811357749,-108.618780684415
919.03771336326,-108.535507653538
944.060876285923,-107.224274172382
969.76535910825,-107.97099347334
996.169712514941,-109.517356507592
1023.29299228075,-108.036470999488
1051.15477302287,-108.699199772103
1079.77516232771,-108.807110564817
1109.1748152624,-109.118404139442
1139.37494928134,-105.822869578879
1170.39735953862,-106.956207283713
1202.26443461741,-108.683522209559
1234.99917268758,-107.789469879019
1268.62519810326,-107.683206979856
1303.1667784523,-107.821835536723
1338.64884206999,-106.679850225867
1375.0969960296,-111.191937520081
1412.53754462275,-106.924635851663
1450.99750834299,-109.379899168746
1490.5046433862,-113.181727124127
1531.08746168203,-110.967789848534
1572.77525147067,-102.714464858864
1615.59809843987,-111.855341726074
1659.58690743756,-105.775330206929
1704.77342477552,-106.341159376903
1751.19026114046,-103.314502688178
1798.87091512879,-104.479505772266
1847.84979742229,-103.232035554662
1898.16225562196,-104.779114297798
1949.84459975804,-104.364501191922
2002.93412849465,-100.341618628403
2057.46915604784,-105.382053983826
2113.48903983665,-108.123011709538
2171.03420888696,-107.212242716624
2230.14619300874,-108.095370415482
2290.86765276777,-106.771186369397
2353.2424102733,-104.828265934755
2417.3154808041,-106.536973672517
2483.13310529557,-104.107294277439
2550.74278371136,-105.186424920268
2620.19330932367,-103.314550837456
2691.53480392692,-106.313619541228
2764.81875401011,-102.209297283046
2840.09804791422,-106.541031586928
2917.42701400117,-105.05526984092
2996.86145986212,-100.143369849922
3078.4587125933,-104.010222982102
3162.27766016838,-101.962210928675
3248.37879393743,-100.948396450041
3336.82425228294,-101.032801446274
3427.6778654645,-100.223910217314
3521.00520168452,-102.433246250078
3616.87361440816,-97.1218158384542
3715.35229097173,-100.650929227946
3816.51230251451,-102.451166711714
3920.42665527015,-98.1836750353198
4027.17034325459,-97.4229611096498
4136.82040238851,-101.900764781167
4249.45596609344,-101.160126022855
4365.15832240166,-99.4506601469704
4484.01097262092,-97.6774322528487
4606.09969159666,-98.9813376667769
4731.51258961481,-98.3668747896549
4860.34017599021,-101.58536609037
4992.67542438638,-99.7534840847885
5128.61383991365,-101.59963725752
5268.25352805435,-98.5692499393692
5411.69526546464,-98.9762752191199
5559.04257270404,-100.229131835791
5710.40178894527,-95.7420782748282
5865.88214871824,-97.2610314153393
6025.59586074358,-97.7922505551905
6189.6581889126,-99.8767408684823
6358.18753547223,-96.7942143025301
6531.30552647473,-96.5541491554564
6709.13709955411,-98.8141420676529
6891.8105940925,-96.5464614190283
7079.45784384138,-99.8875588196532
7272.21427206485,-95.099607575085
7470.21898927332,-98.0020002272715
7673.6148936182,-97.7459061974592
7882.54877402021,-96.1385988359794
8097.17141610562,-96.5387363019397
8317.63771102672,-94.874998692112
8544.10676724535,-96.5789962722481
8776.74202536006,-96.7987404940702
9015.71137605956,-97.4823606766702
9261.18728128793,-95.8581350007258
9513.34689870874,-95.3581345819416
9772.3722095581,-94.7008906045859
10038.4501499788,-96.5675150147353
10311.7727459306,-95.7600052690991
10592.5372517729,-94.386823633728
10880.9462926223,-96.9584269339528
11177.2080105845,-94.5599621728986
11481.5362149688,-93.4004104247875
11794.1505365925,-93.6459903506596
12115.2765862859,-94.3690753236272
12445.1461177138,-93.9169382085899
12783.9971946302,-94.6517519666883
13132.0743626862,-95.7465081522525
13489.6288259165,-94.4790543288675
13856.9186280313,-94.8742529211649
14234.2088386434,-95.2113085951796
14621.7717445672,-92.9580123074658
15019.8870463249,-94.0636735142771
15428.8420600041,-92.9053300035851
15848.9319246111,-94.0998208649241
16280.45981507,-95.0111841854226
16723.7371610208,-93.3765741851141
17179.0838715759,-93.7357314970818
17646.828566195,-92.1381002862317
18127.308811847,-92.3317511758069
18620.8713666287,-93.7085610798528
19127.872430017,-92.8113764229053
19648.6778999347,-92.4680708462016
20183.6636368156,-91.9717579143957
20733.2157348596,-93.4008528233733
21297.7308006728,-92.0774591600207
21877.6162394955,-93.4629948475165
22473.2905492222,-93.1563691031734
23085.1836224276,-92.1321928303311
23713.7370566166,-91.7505047438876
24359.4044729203,-93.6376906523747
25022.6518434708,-91.6867645713652
25703.9578276886,-91.2841776599427
26403.8141177268,-91.6396846093432
27122.7257933203,-92.501539822127
27861.2116862977,-92.1816620548879
28619.8047550171,-91.5518702615831
29399.0524689969,-91.8444984144449
30199.5172040202,-90.4403807646189
31021.776647995,-88.5669553520119
31866.4242178673,-89.8446548604587
32734.0694878838,-88.0580275304149
33625.3386295162,-88.8259210392328
34540.8748633635,-90.0670795301994
35481.3389233576,-91.2520793222398
36447.4095336095,-91.781095970031
37439.7838982381,-93.1949541991076
38459.1782045354,-87.1121790450692
39506.3281398323,-90.3723256236153
40581.989422438,-88.3040887447339
41686.9383470336,-86.3173262589929
42821.9723449175,-88.1056035582171
43987.9105595043,-90.3705308957366
45185.5944374923,-90.7543031522517
46415.8883361278,-87.9910820824475
47679.6801470042,-90.363604905766
48977.8819368446,-87.7563544920316
50311.4306057317,-91.2702507692085
51681.2885632604,-90.0550898892149
53088.4444230989,-90.6543933312322
54533.9137164627,-86.4441342500426
56018.7396250141,-88.088597156387
57543.9937337157,-89.4335617126159
59110.776804184,-85.0925827926584
60720.2195690989,-88.8600977215762
62373.483548242,-83.8123662403624
64071.7618867554,-84.1761916033262
65816.2802162232,-85.0369437190688
67608.2975391981,-84.8888835418513
69449.1071378121,-88.3099149287406
71340.0375071256,-86.5979916362684
73282.4533138904,-86.5474249652074
75277.7563814166,-85.7252771014757
77327.3867012556,-86.5729101779192
79432.8234724281,-84.8169204784596
81595.5861689489,-82.6166196343319
83817.2356364163,-87.7562438432825
86099.37521846,-82.4441753872399
88443.65191386,-85.1545502110751
90851.7575651687,-85.477750160835
93325.4300796991,-82.4187156719945
95866.4546837558,-82.9016460356086
98476.6652110159,-83.4710344671626
101157.94542599,-84.2461548141056
103912.230383517,-87.3007661295793
106741.507825276,-87.0238156513375
109647.819614318,-84.5698362851242
112633.263208666,-84.9125817369714
115699.993175021,-81.6253787439126
118850.222743702,-82.3728153692718
122086.225405907,-81.2487207640338
125410.336554475,-83.2380364817364
128824.955169313,-83.3503343786085
132332.545548722,-81.9038992171324
135935.639087852,-83.4822145791671
139636.836105594,-82.2423582270474
143438.807721197,-82.7708181480012
147344.297781996,-81.2100219975336
151356.124843621,-80.387167308806
155477.184204117,-85.117124093735
159710.44999346,-81.201546225843
164058.977319954,-85.5844219498408
168525.904475075,-82.2586688684083
173114.455198349,-83.880774373348
177827.941003892,-82.678776852804
182669.7635703,-81.2889820562448
187643.417195608,-83.0751222095784
192752.491319094,-81.7961238299468
198000.673111739,-80.5436867089164
203391.750137229,-81.030708886907
208929.613085404,-82.3424965072985
214618.258580128,-82.8926666197931
220461.792063618,-80.9698158877306
226464.430759306,-84.6213798895172
232630.506715363,-84.237648558845
238964.469931102,-81.5852466878153
245470.891568503,-82.5709148413866
252154.467251172,-83.6230800007122
259020.020453132,-84.6712310307869
266072.505979881,-85.6263709940239
273317.013544223,-85.6460149973024
280758.771439473,-82.8693635720089
288403.150312661,-81.7077462118535
296255.667040481,-85.8291534523767
304321.988710772,-82.9912787300776
312607.936712396,-83.420115541757
321119.490936482,-82.1148730764479
329862.794092063,-82.9219035702231
338844.156139203,-84.9203565156266
348070.058842841,-85.887027238325
357547.160450621,-85.0566492483377
367282.300498085,-84.6748789577386
377282.504744699,-83.9681164082067
387554.990244286,-83.7547932036249
398107.170553498,-86.2827631788432
408946.661082112,-82.7777981268914
420081.284589007,-85.9435254081941
431519.076827766,-85.4183556517033
443268.292346009,-85.0401786402447
455337.410442625,-85.0728637025149
467735.141287199,-84.3730211554646
480470.432206058,-87.240099033879
493552.474139481,-87.3652818356934
506990.708274704,-86.7694135007943
520794.832859546,-87.6094868927027
534974.810201537,-87.802713657573
549540.873857624,-87.2262286839627
564503.536019636,-86.8069499846145
579873.595100831,-88.7862344046086
595662.14352901,-85.8306250601725
611880.575751822,-86.2118058947412
628540.596460025,-88.7467120457515
645654.229034655,-89.5147848679659
663233.82422419,-90.2958165860422
681292.069057962,-89.942591270043
699841.996002273,-87.6631050153673
718896.992365807,-89.9530708198462
738470.809961117,-90.5843695887969
758577.575029183,-89.799723638602
779231.798434194,-90.9135353581922
800448.386135892,-91.6045345332544
822242.649947071,-92.0250313701721
844630.318583969,-92.8653438279265
867627.549017531,-89.7962440329171
891250.938133745,-85.8367833663725
915517.534711467,-85.8998938549286
940444.851726353,-81.7296806857705
966050.878989813,-82.2224761448136
992354.096132101,-85.9706088359922
1019373.48593887,-84.4602357611314
1047128.5480509,-88.3843704566846
1075639.31303677,-87.2311214896803
1104926.35684876,-85.0703280311183
1135010.81567232,-87.6846310023307
1165914.40117983,-92.9185459897303
1197659.41619977,-90.3408272270329
1230268.77081238,-91.6560913849518
1263765.99888374,-97.0825259893305
1298175.27504985,-98.843655031664
1333521.43216332,-91.7016883932163
1369829.97921497,-95.1484873469941
1407127.11974341,-92.7831652912268
1445439.77074593,-93.5097195370144
1484795.58210421,-92.6666884854669
1525222.95653902,-90.9628577246338
1566751.07010815,-107.054172097138
1609409.89326254,-104.06891944889
1653230.21247563,-102.105862593863
1698243.65246174,-102.667660052238
1744482.69899926,-97.3955449246299
1791980.72237533,-97.4086054776553
1840772.00146896,-101.194114246959
1890891.74848964,-105.121832257914
1942376.13438978,-107.558608628136
1995262.31496888,-102.549813608256
2049588.45768853,-108.333716522891
2105393.76921755,-100.457354263296
2162718.52372702,-101.577818067579
2221604.09195581,-105.916709477049
2282092.97106745,-108.623064919717
2344228.81531992,-107.121875601564
2408056.46757054,-110.438034211414
2473621.99163862,-110.521439298075
2540972.70554931,-107.982508965053
2610157.21568254,-110.934786867026
2681225.45185183,-109.454525676499
2754228.70333817,-112.598792736876
2829219.65590495,-108.70256183781
2906252.42982087,-113.06527711909
2985382.61891796,-111.809153006631
3066667.33071318,-121.099767325082
3150165.22762236,-112.560981344121
3235936.56929629,-120.513545794318
3324043.25610958,-119.876570146633
3414548.8738336,-117.957011444415
3507518.73952568,-124.800400292355
3603019.94866785,-126.589303301838
3701121.42358903,-120.440186743993
3801893.96320561,-128.224802846238
3905410.29411638,-125.317643012208
4011745.12308862,-126.824837714224
4120975.1909733,-128.884159889793
4233179.32808821,-125.471820619864
4348438.51110907,-129.657980139036
4466835.92150963,-129.845645461691
4588457.005593,-129.208376024427
4713389.53615741,-135.613519477999
4841723.67584099,-134.3565305057
4973552.0421914,-135.20478424294
5108969.77450693,-134.83433932753
5248074.60249772,-135.359965733941
5390966.91681638,-140.520277550936
5537749.8415089,-133.917845964874
5688529.30843841,-138.5355720042
5843414.13373518,-141.251371591538
6002516.09632815,-138.576306478993
6165950.01861482,-141.775495088376
6333833.84932745,-138.710676222823
6506288.74865558,-143.992202015945
6683439.17568614,-140.009106101037
6865412.97822455,-138.44478387635
7052341.48506112,-140.634220482936
7244359.6007499,-142.258820493812
7441605.90296806,-142.067882364575
7644222.742526,-139.803782448741
7852356.34610072,-142.588518256623
8066156.92176614,-140.537585286673
8285778.7673969,-135.93731403998
8511380.38202376,-139.365637850595
8743124.58022074,-135.271930220288
8981178.60960694,-133.802170183348
9225714.27154763,-135.820020346862
9476908.0451416,-131.693937602895
9734941.21458449,-128.185818727151
10000000,-109.252124045545
