Trace
Log Plot
A.25.05,N9000A
503 EP4 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,10000000
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,1
Stop Offset,10000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Raw,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
1,-86.2336238666391
1.0272275691833,-80.1234299527723
1.05519647889024,-79.3912599272763
1.0839269140212,-76.6088961929498
1.11343960906236,-80.0150393590792
1.14375586304954,-83.6999830287527
1.17489755493953,-84.3465929329247
1.20688715939994,-83.810719617121
1.23974776302894,-82.6349527958089
1.27350308101666,-80.0386308307601
1.30817747426019,-80.7072691124787
1.34379596694465,-83.0542033747627
1.38038426460288,-87.1229749765411
1.4179687726669,-83.433734317776
1.45657661552446,-83.0419053866362
1.49623565609443,-83.485564199897
1.53697451593527,-84.6902818297566
1.57882259590087,-85.4390717347324
1.62181009735893,-83.1723600116329
1.66596804398695,-86.6208538970655
1.71132830416178,-86.5840508868046
1.75792361395869,-87.3909367905922
1.80578760077672,-86.8188397707359
1.85495480760722,-82.3458912504404
1.90546071796325,-84.0497128375301
1.95734178148766,-86.1437406395222
2.01063544025849,-85.8893251667303
2.06538015581053,-91.8474628892957
2.12161543689268,-92.2271684673258
2.17938186798105,-86.306375747946
2.23872113856834,-83.7285852622844
2.29967607325084,-82.0567284733238
2.36229066263446,-85.0459262441614
2.42661009508242,-86.0262748897814
2.49268078932718,-89.8056152394857
2.56055042797048,-88.7279284635551
2.63026799189538,-86.2663230748756
2.70188379561534,-86.5806982883297
2.77544952358571,-85.7121739843902
2.85101826750391,-83.4061988702718
2.92864456462524,-90.0185554101796
3.00838443712188,-84.8240737089566
3.09029543251359,-86.106929698233
3.1744366651992,-85.3962983177524
3.26086885911893,-83.8807400548633
3.34965439157828,-87.8802349724223
3.44085733826513,-88.4144229100754
3.53454351949263,-86.6824782980075
3.63078054770101,-90.9231806750505
3.72963787625294,-85.2714561170192
3.83118684955729,-88.7498801375226
3.93550075455778,-84.7275312666418
4.04265487362344,-89.2597355523227
4.15272653887925,-91.0314998472831
4.26579518801593,-88.6233523135645
4.38194242161944,-87.733065455216
4.50125206206134,-87.6305963729136
4.6238102139926,-90.2207836902976
4.74970532648456,-88.4536071016328
4.87902825686172,-85.1574436261038
5.01187233627272,-90.4208495237972
5.14833343704648,-88.6811856580192
5.28851004188238,-87.2253111265961
5.43250331492433,-89.4550516478727
5.58041717476997,-91.3286737511176
5.73235836946771,-88.8900330746754
5.88843655355589,-90.0392044095881
6.04876436719933,-91.2651616891812
6.21345751748076,-92.249874593524
6.38263486190549,-92.3023368780405
6.55641849417979,-88.4391830943623
6.73493383232477,-89.0069260031039
6.91830970918936,-91.7681812967438
7.10667846542785,-87.0751241722992
7.30017604500878,-90.455876161667
7.49894209332456,-88.0695550097172
7.70312005797215,-95.2472320430389
7.91285729227788,-94.1282321764545
8.12830516164099,-93.3690465246792
8.34961915277258,-96.0244634351654
8.57695898590894,-96.842404102705
8.81048873008014,-89.0532184323893
9.05037692151712,-85.5246483088688
9.29679668528271,-79.6738613464299
9.54992586021436,-76.85290853443
9.80994712726877,-92.8919996643312
10.077048141361,-89.542265867718
10.3514216667934,-92.7339342113405
10.6332657163716,-94.0124041512642
10.9227836943086,-91.2289754941334
11.2201845430196,-95.4778902311545
11.5256828939141,-89.5181719682732
11.839499222293,-90.8225940211591
12.1618600064637,-89.0882412735396
12.4929978911873,-89.4046416044906
12.8331518555765,-90.7918186195302
13.1825673855641,-91.2574828567946
13.5414966510681,-93.770297962031
13.9101986879805,-91.0507746335647
14.288939585111,-89.2974969281256
14.6779926762207,-92.5834042118067
15.0776387372845,-94.1155521615033
15.4881661891248,-88.1425041860841
15.9098713055617,-91.5579497301719
16.3430584272314,-92.642183424484
16.7880401812256,-96.6482360428044
17.245137706712,-94.6349350762946
17.7146808866971,-89.818572902905
18.1970085860998,-91.0697238748822
18.6924688963071,-84.0947815083397
19.201419386388,-88.766620916679
19.7242273611485,-91.9455024908302
20.2612701262114,-92.4232281067356
20.8129352603145,-91.0375631091147
21.3796208950223,-93.9212842614783
21.9617360020544,-94.4027960559194
22.5597006884358,-94.5292071042788
23.1739464996848,-95.3684956631875
23.8049167312551,-96.2090048208057
24.4530667484582,-95.7713703638481
25.1188643150958,-93.7864925075736
25.8027899310411,-95.7380276156569
26.5053371790108,-94.1547589641783
27.2270130807791,-93.1407930277881
27.9683384630908,-97.7595994761352
28.7298483335367,-94.9036057787187
29.5120922666639,-97.3601194949097
30.3156348005985,-93.3222129216672
31.1410558444676,-96.3865200198939
31.988951096914,-96.4877522181298
32.8599324760065,-93.2622798573052
33.7546285608557,-97.5200550135654
34.6736850452532,-95.1370063950138
35.6177652036629,-94.132657439526
36.5875503699003,-95.0578079592133
37.5837404288444,-96.1768479187419
38.6070543215381,-97.3158665716485
39.6582305640414,-95.9916102027116
40.7380277804113,-96.9958163419915
41.8472252501938,-96.807537364259
42.9866234708228,-96.6737700931618
44.1570447353312,-100.505219119103
45.3593337257927,-98.9674839143118
46.5943581229204,-95.663345514678
47.8630092322638,-99.6213319527793
49.1662026274564,-99.658458765546
50.5048788109759,-94.9400437369313
51.8800038928961,-98.6093069510251
53.29257028812,-98.2835275163369
54.7435974325959,-101.979155288828
56.2341325190349,-99.7101591164113
57.76525125266,-97.6122415765015
59.3380586275328,-99.2793248502476
60.9536897240169,-97.8517904010481
62.6133105279552,-99.6683110835478
64.3181187721509,-99.1051972811424
66.0693448007596,-98.6547461732774
67.8682524572179,-100.10369799668
69.7161399963467,-102.497700538595
71.6143410212902,-102.172493707458
73.5642254459641,-98.8789694404461
75.5672004837103,-96.4906285407012
77.6247116628692,-98.7493273447534
79.738243870004,-100.57373686493
81.9093224215297,-100.290152665942
84.1395141645195,-101.456046351611
86.4304286074836,-101.662243348234
88.7837190819365,-100.878411877374
91.201083935591,-100.399062330374
93.6842677580396,-105.225919092418
96.2350626398088,-99.4189352993976
98.8553094656939,-97.5129521842957
101.546899243308,-99.6370635354462
104.311774467805,-100.242358177194
107.151930523761,-104.012657665958
110.069417125221,-104.080547972074
113.066339794964,-100.94676756115
116.144861384034,-101.72849072528
119.307203632653,-106.255513890612
122.555648773628,-101.362700137313
125.892541179417,-103.830769428171
129.320289054041,-104.788383368759
132.841366171065,-104.297826080171
136.458313658892,-102.550319914943
140.173741834677,-100.611944259129
143.990332088163,-105.490364555904
147.910838816821,-103.6451100349
151.938091413666,-107.463141378717
156.074996309211,-108.374407484137
160.324539069004,-106.564716918808
164.689786548287,-100.113382914939
169.173889105314,-101.313865285054
173.780082874938,-106.187536979391
178.511692104095,-107.36610265189
183.372131550888,-103.244057470236
188.36490894898,-104.793408400559
193.493627539095,-105.010208169229
198.761988669444,-104.799243095042
204.173794466953,-104.662912115613
209.73295058122,-105.466042607713
215.443469003188,-104.741356808117
221.309470960564,-105.168291171148
227.335189892063,-102.008035323216
233.524974502649,-103.441993109746
239.883291901949,-110.660957769367
246.414730828128,-107.279421952997
253.124004959536,-104.04654913947
260.015956316527,-102.5595195926
267.095558755899,-107.047013970338
274.367921560478,-106.003004862538
281.838293126445,-104.579198692895
289.51206475105,-109.27865478647
297.394774523461,-104.412811430311
305.492111321551,-107.709886526703
313.809918917513,-106.598055414428
322.354200195246,-105.664210335738
331.131121482591,-105.191005063883
340.147017001504,-107.035032095319
349.408393439407,-106.184591913672
358.921934645005,-105.727632537049
368.694506451957,-105.391582449484
378.733161633883,-107.565674158518
389.045144994281,-108.521662487005
